asin,title,author,rating,reviews,url
9389898382,Artificial Intelligence for Managers,by Malay A. Upadhyay | 16 September 2020,4.5 out of 5 stars,(20),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTExNzU3OTc0MjUwODM0OjE3NzYxODQ5MDY6c3BfYXRmOjMwMDE0MzE4OTE5MjkzMjo6MDo6&url=%2FArtificial-Intelligence-Managers-Transform-Organizations%2Fdp%2F9389898382%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo%26dib_tag%3Dse%26keywords%3Dartificial%2Bintelligence%2Bbook%26qid%3D1776184906%26sr%3D8-1-spons%26aref%3DKDIGTYl6Ot%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=KDIGTYl6Ot&sp_cr=ZAZ
9355513496,No-Code Artificial Intelligence,by Ambuj Agrawal | 7 March 2023,3.9 out of 5 stars,(13),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTExNzU3OTc0MjUwODM0OjE3NzYxODQ5MDY6c3BfYXRmOjMwMDE0MzE4OTE5MTUzMjo6MDo6&url=%2FNo-Code-Artificial-Intelligence-powered-applications%2Fdp%2F9355513496%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo%26dib_tag%3Dse%26keywords%3Dartificial%2Bintelligence%2Bbook%26qid%3D1776184906%26sr%3D8-2-spons%26aref%3D4tnFBWFu83%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4tnFBWFu83&sp_cr=ZAZ
9356063575,"Artificial Intelligence: A Modern Approach, 4e",by Russell/Norvig | 31 May 2022,4.4 out of 5 stars,(581),https://www.amazon.in/Artificial-Intelligence-Modern-Approach-4e/dp/9356063575/ref=sr_1_3?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-3
8119726456,AI for Everyone,by Sridhar Seshadri and Shreeram Iyer | 1 October 2024,4.2 out of 5 stars,(151),https://www.amazon.in/AI-Everyone-Common-Artificial-Intelligence/dp/8119726456/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-4
936444082X,"Artificial Intelligence and Machine Learning | Pradeep Singh, Tapan K Gandhi and Balasubramanian Raman","by Pradeep Singh, Tapan K Gandhi, et al. | 31 July 2025",4.4 out of 5 stars,(27),https://www.amazon.in/Artificial-Intelligence-Machine-Learning-Balasubramanian/dp/936444082X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-5
0241404835,Artificial Intelligence: A Guide for Thinking Humans,by Melanie Mitchell | 1 September 2020,4.4 out of 5 stars,(1.2K),https://www.amazon.in/Artificial-Intelligence-Thinking-Humans-Pelican/dp/0241404835/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-6
0143477587,Human Edge in the AI Age: Eight Timeless Mantras for Success | By the Bestselling Author of Winning in the Digital Age and Mastering the Data Paradox,by Nitin Seth | 31 July 2025,4.8 out of 5 stars,(905),https://www.amazon.in/Human-Edge-Age-Bestselling-Mastering/dp/0143477587/ref=sr_1_7?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-7
9361591754,AI for Everyone: A Beginner's Handbook for Artificial Intelligence (AI) | Aligned to NEP-CCF Value Added Course | - Pearson,"by Saptarsi Goswami , Amit Kumar Das, et al. | 23 May 2024",4.4 out of 5 stars,(163),https://www.amazon.in/AI-Everyone-Beginners-Artificial-Intelligence/dp/9361591754/ref=sr_1_8?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-8
8176711411,"Artificial Intelligence 5 th updated, Rich and Knight",by Kevin Knight and Elaine Rich | 30 July 2025,4.5 out of 5 stars,(2),https://www.amazon.in/Artificial-Intelligence-updated-Rich-Knight/dp/8176711411/ref=sr_1_9?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-9
0008560137,A Brief History of Intelligence: Why the Evolution of the Brain Holds the Key to the Future of AI,by Max Bennett | 25 October 2024,4.6 out of 5 stars,(1K),https://www.amazon.in/Brief-History-Intelligence-Evolution-Future/dp/0008560137/ref=sr_1_10?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-10
