asin,title,author,rating,reviews,url
8192107531,The Ultimate C,by R. Nageswara Rao | 29 June 2012,4.4 out of 5 stars,(50),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYXRmOjMwMDAyODAwMzg3OTUzMjo6MDo6&url=%2FUltimate-Concepts-Programs-Interview-Questions%2Fdp%2F8192107531%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-1-spons%26aref%3DvyTyhCFgzf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=vyTyhCFgzf&sp_cr=ZAZ
0367566001,"C: FROM THEORY TO PRACTICE, SECOND EDITION",by George S. Tselikis and Nikolaos D. Tselikas | 1 July 2020,4.5 out of 5 stars,(9),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYXRmOjMwMDg0OTc0OTY3NTIzMjo6MDo6&url=%2FTheory-Practice-George-S-Tselikis%2Fdp%2F0367566001%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-2-spons%26aref%3DEyCF8PKpK9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=EyCF8PKpK9&sp_cr=ZAZ
9332549443,"C PROGRAMMING LANGUAGE, 2ND EDN",by Brian W. Kernighan / Dennis Ritchie | 1 January 2015,4.4 out of 5 stars,(4.2K),https://www.amazon.in/C-PROGRAMMING-LANGUAGE-2ND-EDN/dp/9332549443/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-3
9365899680,Let Us C - 21st Edition - Includes Chat GPT Programming + Security Programming - 21st/Ed. - For 2026 Exams,by Yashvant Kanetkar | 4 September 2025,4.6 out of 5 stars,(64),https://www.amazon.in/Let-Us-Programming-Security-Exams/dp/9365899680/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-4
0070411832,"C: THE COMPLETE REFERENCE, 4TH EDN",by Herbert Schildt | 1 July 2017,4.4 out of 5 stars,(456),https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/0070411832/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-5
9355326726,Programming in ANSI C | 9th Edition | Balagurusamy,by E Balagurusamy | 11 July 2024,4.4 out of 5 stars,(104),https://www.amazon.in/Programming-ANSI-Balagurusamy-McGraw-Hill/dp/9355326726/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-6
8183330487,C In Depth,by S.K.Srivastava/Deepali Srivastava | 30 June 2009,4.4 out of 5 stars,(1.5K),https://www.amazon.in/C-Depth-Deepali-Srivastava/dp/8183330487/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-7
B0GK1H6SCD,Programming With C & C++ B.Com I-Year II-Sem (Computer Applications) As Per the Latest O.U (2025-26) CBCS Syllabus (Including LAB Practical with Solutions) Latest 2026 Edition,by SIA Team Of Experts | 26 January 2026,N/A,N/A,https://www.amazon.in/Programming-Applications-Including-Practical-Solutions/dp/B0GK1H6SCD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-8
9387394891,A Textbook of Basics of C Programming by Vikash Kumar Gupta,by Vikash Kumar Gupta | 1 January 2020,4.6 out of 5 stars,(17),https://www.amazon.in/Programming-engineering-Jharkhand-University-Technology/dp/9387394891/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-9
9369145729,"GKP Codewise- C, C++, Java, Python & R Complete Programmer Reference By Dr.Mohd. Abdul Hameed",by Dr. Mohd. Abdul Hameed | 21 October 2025,5.0 out of 5 stars,(4),https://www.amazon.in/Codewise-Complete-Programmer-Reference-Dr-Mohd/dp/9369145729/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-10
1949857395,Introductory C with C++,by Richard Petersen | 29 March 2023,N/A,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfbXRmOjMwMDk4NDIwMDU1NTMzMjo6MDo6&url=%2FIntroductory-C-Richard-Petersen%2Fdp%2F1949857395%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-11-spons%26aref%3Dj12BdSZR0U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=j12BdSZR0U&sp_cr=ZAZ
1787121704,"Mastering C++ Multithreading: Write robust, concurrent, and parallel applications",by Maya Posch | 1 January 2017,3.8 out of 5 stars,(18),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfbXRmOjMwMDE2Mzk1OTQ1MDUzMjo6MDo6&url=%2FMastering-C-Multithreading-Maya-Posch%2Fdp%2F1787121704%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-12-spons%26aref%3DL5YEBa2QeP%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=L5YEBa2QeP&sp_cr=ZAZ
9356060134,"C++ Programming Language, 4e",by Bjarne Stroustrup | 31 May 2022,4.3 out of 5 stars,(310),https://www.amazon.in/C-Programming-Language-Fourth-Pearson/dp/9356060134/ref=sr_1_13?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-13
935316513X,"PROGRAMMING IN ANSI C, 8TH EDITION",by E Balagurusamy | 25 March 2019,4.5 out of 5 stars,(1.5K),https://www.amazon.in/Programming-ANSI-C-8-Balagurusamy/dp/935316513X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-14
933253957X,"C Programming Absolute Beginner's Guide, 3e",by Perry | 1 January 2014,4.5 out of 5 stars,(738),https://www.amazon.in/Programming-Absolute-Beginners-Guide-3e/dp/933253957X/ref=sr_1_15?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-15
9357059563,C How to Program: With Case Studies Introducing Applications Programming and Systems Programming 9th Edition: With Case Studies in Applications and Systems Programming,by Paul Deitel and Harvey Deitel | 27 March 2024,4.7 out of 5 stars,(4),https://www.amazon.in/How-Program-Introducing-Applications-Programming/dp/9357059563/ref=sr_1_16?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-16
9332549737,The C Answer Book,by Tondo | 1 January 2015,4.5 out of 5 stars,(106),https://www.amazon.in/C-Answer-Book-Tondo/dp/9332549737/ref=sr_1_17?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-17
9332549311,Data Structures Using C and C++ 2e,by Langsam / Augenstein / Tenenbaum | 1 January 2015,4.4 out of 5 stars,(169),https://www.amazon.in/Data-Structures-Using-C/dp/9332549311/ref=sr_1_18?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-18
9334182377,"C Programming: Mastering the Basics (Programming in C, KTU B.Tech Semester 2, 2024 Scheme)",by Vijitha Robinson and Kailas Sree Chandran | 10 January 2025,4.2 out of 5 stars,(9),https://www.amazon.in/Programming-Mastering-Basics-B-Tech-Semester/dp/9334182377/ref=sr_1_19?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-19
B0F13X958X,SSC Stenographer Grade C & D & other Government Exams Shorthand Book (English Printed Edition) by Adda247,by Rudra Pratap Singh | 17 March 2025,4.8 out of 5 stars,(13),https://www.amazon.in/Stenographer-Government-Shorthand-English-Printed/dp/B0F13X958X/ref=sr_1_20?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-20
1484293428,Beginning C++23: From Beginner to Pro,by Ivor Horton and Peter Van Weert | 8 October 2023,4.6 out of 5 stars,(46),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYnRmOjMwMDg0OTg1NTMyMzIzMjo6MDo6&url=%2FBeginning-C-23-Beginner-Pro%2Fdp%2F1484293428%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-21-spons%26aref%3Do6T3gFfwn2%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=o6T3gFfwn2&sp_cr=ZAZ
1484213726,Learn to Program with C,by Noel Kalicharan | 15 December 2015,5.0 out of 5 stars,(1),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYnRmOjMwMDg0OTg1NTMzNDAzMjo6MDo6&url=%2FLearn-Program-C-Noel-Kalicharan%2Fdp%2F1484213726%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-22-spons%26aref%3Dw6mxBZIqUg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=w6mxBZIqUg&sp_cr=ZAZ
