asin,title,author,rating,reviews,url
9356060134,"C++ Programming Language, 4e",by Bjarne Stroustrup | 31 May 2022,4.3 out of 5 stars,(310),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYXRmOjMwMDA1MzQ4MjQ4NTYzMjo6MDo6&url=%2FC-Programming-Language-Fourth-Pearson%2Fdp%2F9356060134%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-1-spons%26aref%3DElp2gMkPhN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Elp2gMkPhN&sp_cr=ZAZ
8131729346,Programming in C - A Practical Approach,by Ajay Mittal | 1 January 2010,4.4 out of 5 stars,(158),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYXRmOjMwMDU4MzQ1MDc3MjgzMjo6MDo6&url=%2FProgramming-C-Ajay-Mittal%2Fdp%2F8131729346%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-2-spons%26aref%3DLcOsEszCHK%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=LcOsEszCHK&sp_cr=ZAZ
9389949181,Object Oriented Programming with C++ | 8th Edition | E Balagurusamy | 150+ MCQs | 100+ Dry Run Exercises | 90+ Interview Questions | ANSI C++,by E Balagurusamy | 24 September 2020,4.4 out of 5 stars,(1K),https://www.amazon.in/Programming-Balagurusamy-Exercises-Interview-Questions/dp/9389949181/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-3
B0BHDGL198,C++ for Beginners : A Step-by-Step Guide on C++ Programming Language Fundamentals with Practical Explanations (2022 Crash Course for All),by Bud Tenny | 3 October 2022,3.6 out of 5 stars,(21),https://www.amazon.in/Beginners-Step-Step-Fundamentals-Explanations/dp/B0BHDGL198/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-4
9356060134,"C++ Programming Language, 4e",by Bjarne Stroustrup | 31 May 2022,4.3 out of 5 stars,(310),https://www.amazon.in/C-Programming-Language-Fourth-Pearson/dp/9356060134/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-5
9388176642,Let Us C++,by Yashavant Kanetkar | 16 September 2020,4.2 out of 5 stars,(647),https://www.amazon.in/Let-Us-C-Kanetkar-Yashavant/dp/9388176642/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-6
9351109054,EFFECTIVE MODERN C++,by Scott Meyers | 1 December 2014,4.7 out of 5 stars,(530),https://www.amazon.in/EFFECTIVE-MODERN-C-Scott-Meyers/dp/9351109054/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-7
9354979467,Object Oriented Programming with C++,by Reema Thareja | 6 March 2025,4.7 out of 5 stars,(4),https://www.amazon.in/Object-Oriented-Programming-Reema-Thareja/dp/9354979467/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-8
B0GK1H6SCD,Programming With C & C++ B.Com I-Year II-Sem (Computer Applications) As Per the Latest O.U (2025-26) CBCS Syllabus (Including LAB Practical with Solutions) Latest 2026 Edition,by SIA Team Of Experts | 26 January 2026,N/A,N/A,https://www.amazon.in/Programming-Applications-Including-Practical-Solutions/dp/B0GK1H6SCD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-9
007053246X,"C++: The Complete Reference, 4th Edition",by Herbert Schildt | 1 July 2017,4.4 out of 5 stars,(756),https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/007053246X/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-10
