asin,title,author,rating,reviews,url
9365896193,Data Preparation and Analysis: An easy approach to master data science (English Edition),by Dr Pooja Sharma | 11 August 2025,N/A,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDM2Njg4MDI3OTY0ODQyOjE3NzYxODQ5MDA6c3BfYXRmOjMwMDY5NjIyODk4NjczMjo6MDo6&url=%2FData-Preparation-Analysis-approach-science%2Fdp%2F9365896193%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds%26dib_tag%3Dse%26keywords%3Ddata%2Bscience%2Bbook%26qid%3D1776184900%26sr%3D8-1-spons%26aref%3DrOagqjlHSG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=rOagqjlHSG&sp_cr=ZAZ
0367676273,Data Science and Innovations for Intelligent Systems: Computational Excellence and Society 5.0 (Demystifying Technologies for Computational Excellence: Moving Towards Society 5.0),"by Kavita Taneja , Harmunish Taneja, et al. | 1 October 2021",N/A,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDM2Njg4MDI3OTY0ODQyOjE3NzYxODQ5MDA6c3BfYXRmOjMwMDg0OTc0OTY2OTMzMjo6MDo6&url=%2FData-Science-Innovations-Intelligent-Systems%2Fdp%2F0367676273%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds%26dib_tag%3Dse%26keywords%3Ddata%2Bscience%2Bbook%26qid%3D1776184900%26sr%3D8-2-spons%26aref%3Diza9WA19EW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=iza9WA19EW&sp_cr=ZAZ
3031083318,Advances and Innovations in Statistics and Data Science (ICSA Book Series in Statistics),"by Wenqing He, Liqun Wang, et al. | 11 November 2023",N/A,N/A,https://www.amazon.in/Advances-Innovations-Statistics-Data-Science/dp/3031083318/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-3
9352138325,"Data Science From Scratch: First Principles with Python, Second Edition (Greyscale Indian Edition)",by Joel Grus | 5 May 2019,4.4 out of 5 stars,(967),https://www.amazon.in/Data-Science-Scratch-Principles-Python/dp/9352138325/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-4
3031858697,"Data Science, Classification and Artificial Intelligence for Modeling Decision Making (Studies in Classification, Data Analysis, and Knowledge Organization)","by Javier Trejos, Theodore Chadjipadelis, et al. | 20 April 2025",N/A,N/A,https://www.amazon.in/Classification-Artificial-Intelligence-Modeling-Decision/dp/3031858697/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-5
B0FY6MQKZT,"Data Science Class 10 Academic Course Material, Digital Learning Resource with Interactive Node Visualization for Higher Education CBSE (Data Science Academic Series)",by Tovira | 1 January 2023,N/A,N/A,https://www.amazon.in/Academic-Material-Interactive-Visualization-Education/dp/B0FY6MQKZT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-6
9355422741,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics (Grayscale Indian Edition)",by Thomas Nield | 1 June 2022,4.5 out of 5 stars,(60),https://www.amazon.in/Essential-Math-Data-Science-Fundamental/dp/9355422741/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-7
9364448774,Data Science and Machine Learning Using Python | 2nd Edition | Reema Thareja,by Reema Thareja | 1 November 2025,3.8 out of 5 stars,(4),https://www.amazon.in/Science-Machine-Learning-Python-Thareja/dp/9364448774/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-8
9369144013,GATE 2027 : Data Science & Artificial Intelligence- Complete Guide | 2600+ MCQs | Solved Papers 2024–2026,by G.K. Publications (P) Ltd. | 23 March 2026,5.0 out of 5 stars,(9),https://www.amazon.in/GATE-2027-Artificial-Intelligence-2024-2026/dp/9369144013/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-9
B0FYD5BDRV,"Data Science Textbook for Class 12, Academic Educational Book with Digital Technology Theme CBSE (Academic Data Science Series)",by Tovira | 1 January 2023,N/A,N/A,https://www.amazon.in/Science-Textbook-Academic-Educational-Technology/dp/B0FYD5BDRV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-10
