asin,title,author,rating,reviews,url
9353945461,"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence","by Jon Krohn , Grant Beyleveld, et al. | 10 June 2020",3.9 out of 5 stars,(49),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjkyODQ3MDA3ODI1MDQzOjE3NzYxODQ5MTI6c3BfYXRmOjMwMDU4MzU0NjQ4MjUzMjo6MDo6&url=%2FDeep-Learning-Illustrated-Interactive-Intelligence%2Fdp%2F9353945461%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg%26dib_tag%3Dse%26keywords%3Ddeep%2Blearning%2Bbook%26qid%3D1776184912%26sr%3D8-1-spons%26aref%3Df6Gri3kn2V%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=f6Gri3kn2V&sp_cr=ZAZ
9356063974,Pearson LEARNING DEEP LEARNING | FIRST EDITION,by Ekman | 29 June 2022,4.8 out of 5 stars,(7),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjkyODQ3MDA3ODI1MDQzOjE3NzYxODQ5MTI6c3BfYXRmOjMwMDU4MzU0NjQ4MjczMjo6MDo6&url=%2FLEARNING-DEEP-FIRST-Ekman%2Fdp%2F9356063974%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg%26dib_tag%3Dse%26keywords%3Ddeep%2Blearning%2Bbook%26qid%3D1776184912%26sr%3D8-2-spons%26aref%3DtcUk5QqsIG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=tcUk5QqsIG&sp_cr=ZAZ
B0FQ644F1B,"Deep Learning by Goodfellow, Bengio, and Courville, Hardcover Book on Artificial Intelligence",Up to 5% back with Amazon Pay ICI...,4.6 out of 5 stars,(2.3K),https://www.amazon.in/Goodfellow-Courville-Hardcover-Artificial-Intelligence/dp/B0FQ644F1B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-3
9367138660,Deep Learning | 1st Edition | - Pearson,by S. Sridhar and D. Narashiman | 28 February 2025,4.1 out of 5 stars,(19),https://www.amazon.in/Deep-Learning-1st-S-Sridhar/dp/9367138660/ref=sr_1_4?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-4
9355424272,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD (Full Colour Edition),by Jeremy Howard and Sylvain Gugger | 16 July 2023,4.6 out of 5 stars,(604),https://www.amazon.in/Deep-Learning-Coders-Fastai-PyTorch/dp/9355424272/ref=sr_1_5?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-5
3031454677,Deep Learning: Foundations and Concepts,by Christopher M. Bishop and Hugh Bishop | 28 November 2023,4.3 out of 5 stars,(234),https://www.amazon.in/Deep-Learning-Foundations-Christopher-Bishop/dp/3031454677/ref=sr_1_6?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-6
9354493874,DEEP LEARNING,"by Amlan Chakrabarti Amit Kumar Das, Saptarsi Goswami, Pabitra Mitra | 1 June 2021",4.5 out of 5 stars,(20),https://www.amazon.in/Learning-Pearson-Saptarsi-Goswami-Chakrabarti/dp/9354493874/ref=sr_1_7?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-7
8126579919,Deep Learning Using Python,"by S Lovelyn Rose , L Ashok Kumar , et al. | 1 January 2019",4.4 out of 5 stars,(63),https://www.amazon.in/Deep-Learning-Using-Python-Lovelyn/dp/8126579919/ref=sr_1_8?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-8
0262537559,Deep Learning,by John D. Kelleher | 10 September 2019,4.5 out of 5 stars,(470),https://www.amazon.in/DEEP-LEARNING-John-D-Kelleher/dp/0262537559/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-9
9355429983,"Generative Deep Learning: Teaching Machines To Paint, Write, Compose, and Play, Second Edition (Grayscale Indian Edition)",by David Foster and Karl Friston | 24 May 2023,4.5 out of 5 stars,(204),https://www.amazon.in/Generative-Deep-Learning-Teaching-Grayscale/dp/9355429983/ref=sr_1_10?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-10
