asin,title,author,rating,reviews,url
8126579900,Machine Learning using Python,by Manaranjan Pradhan and U Dinesh Kumar | 1 January 2019,4.3 out of 5 stars,(747),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYXRmOjIwMDIzMjY0MzkyNTA2OjowOjo&url=%2FMachine-Learning-Python-Manaranjan-Pradhan%2Fdp%2F8126579900%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-1-spons%26aref%3DaB1wHbT5FG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=aB1wHbT5FG&sp_cr=ZAZ
8126563052,Machine Learning (in Python and R) for Dummies,by John Paul Mueller and Luca Massaron | 1 January 2016,4.4 out of 5 stars,(515),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYXRmOjIwMDIzMjY0MzkyOTA2OjowOjo&url=%2FMachine-Learning-Python-R-Dummies%2Fdp%2F8126563052%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-2-spons%26aref%3DgB8qSrC9WS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=gB8qSrC9WS&sp_cr=ZAZ
9355421982,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems, Third Edition (Full Colour Print)",by Aurélien Géron | 10 October 2022,4.7 out of 5 stars,(368),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/9355421982/ref=sr_1_3?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-3
9362056860,Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition),by Oliver Theobald | 22 March 2024,4.4 out of 5 stars,(546),https://www.amazon.in/Machine-Learning-Absolute-Beginners-Introduction/dp/9362056860/ref=sr_1_4?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-4
9368082197,"Hands-On Machine Learning with Scikit-Learn and PyTorch: Concepts, Tools, and Techniques to Build Intelligent Systems (Full Colour Indian Reprint)",by Aurelien Geron | 27 October 2025,4.5 out of 5 stars,(57),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-PyTorch/dp/9368082197/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-5
9352134575,Introduction to Machine Learning with Python: A Guide for Data Scientists (Greyscale Indian Edition),by Andreas Muller | 1 January 2016,4.4 out of 5 stars,(777),https://www.amazon.in/Introduction-Machine-Learning-Python-Scientists/dp/9352134575/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-6
110845514X,MATHEMATICS FOR MACHINE LEARNING,"by Marc Peter Deisenroth , A. Aldo Faisal , et al. | 1 April 2020",4.4 out of 5 stars,(1K),https://www.amazon.in/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-7
9355422679,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications (Grayscale Indian Edition),by Chip Huyen | 1 June 2022,4.6 out of 5 stars,(929),https://www.amazon.in/Designing-Machine-Learning-Systems-Production-Ready/dp/9355422679/ref=sr_1_8?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-8
936444082X,"Artificial Intelligence and Machine Learning | Pradeep Singh, Tapan K Gandhi and Balasubramanian Raman","by Pradeep Singh, Tapan K Gandhi, et al. | 31 July 2025",4.4 out of 5 stars,(27),https://www.amazon.in/Artificial-Intelligence-Machine-Learning-Balasubramanian/dp/936444082X/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-9
9370609164,"Machine Learning using Python, 2ed",by Manaranjan Pradhan and U. Dinesh Kumar | 7 July 2024,5.0 out of 5 stars,(10),https://www.amazon.in/Machine-Learning-using-Python-2ed/dp/9370609164/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-10
