asin,title,author,rating,reviews,url
1636512933,"Python Essentials You Always Wanted to Know: Beginner's Guide to Python Programming, Data Structures, Data Analytics with Hands-On Coding Exercises (Self-Learning Management)",by Vibrant Publishers | 9 December 2024,4.4 out of 5 stars,(49),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzkyNzI3NTExMjA0NTYxOjE3NzYxODQ4NjY6c3BfYXRmOjMwMDY4ODU3MjI3MDkzMjo6MDo6&url=%2FPython-Essentials-Beginners-Programmer-Programming%2Fdp%2F1636512933%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg%26dib_tag%3Dse%26keywords%3Dpython%2Bprogramming%2Bbook%26qid%3D1776184865%26sr%3D8-1-spons%26aref%3D6drdTXEeOw%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=6drdTXEeOw&sp_cr=ZAZ
9390457157,"Core Python Programming : Covers fundamentals to advanced topics like OOPS, Exceptions, Data structures, Files, Threads, Net, 3ed",by R. Nageswara Rao | 1 September 2021,4.5 out of 5 stars,(524),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzkyNzI3NTExMjA0NTYxOjE3NzYxODQ4NjY6c3BfYXRmOjIwMDg4MjM4MzQ2MjA2OjowOjo&url=%2FCore-Python-Programming-3ed-fundamentals%2Fdp%2F9390457157%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg%26dib_tag%3Dse%26keywords%3Dpython%2Bprogramming%2Bbook%26qid%3D1776184865%26sr%3D8-2-spons%26aref%3D5sh2iwOrjN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=5sh2iwOrjN&sp_cr=ZAZ
B0FTTCTW2H,Python Unlocked (By: Kalp Bichhoria),by Kalp Bichhoria | 4 October 2025,5.0 out of 5 stars,(1),https://www.amazon.in/Python-Unlocked-Kalp-Bichhoria-ebook/dp/B0FTTCTW2H/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-3
B078YGVNSF,Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with Python (Texts in Computational Science and Engineering Book 15),by Svein Linge and Hans Petter Langtangen | 25 July 2016,4.2 out of 5 stars,(1.7K),https://www.amazon.in/Programming-Computations-Introduction-Simulations-Computational-ebook/dp/B078YGVNSF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-4
9390457157,"Core Python Programming : Covers fundamentals to advanced topics like OOPS, Exceptions, Data structures, Files, Threads, Net, 3ed",by R. Nageswara Rao | 1 September 2021,4.5 out of 5 stars,(524),https://www.amazon.in/Core-Python-Programming-3ed-fundamentals/dp/9390457157/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-5
9354720609,Basic Python Programming for Beginners,"by Dr. Marlapalli Krishna & S. Jaya Prakash Dr. Marlapalli Krishna, K. Varada Rajkumar | 29 July 2021",4.0 out of 5 stars,(108),https://www.amazon.in/Programming-Beginners-Rajkumar-Marlapalli-Krishna/dp/9354720609/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-6
1718502702,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",by Eric Matthes | 10 January 2023,4.4 out of 5 stars,(2.2K),https://www.amazon.in/Python-Crash-Course-Eric-Matthes/dp/1718502702/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-7
B0DDQFBS3F,"Python Programming Language: A Complete Beginner-to-Intermediate Guide to Python Programming, Automation, Data Processing, and Real Projects",by Robert Hervin | 9 April 2026,N/A,N/A,https://www.amazon.in/Python-Programming-Language-Beginner-Intermediate-ebook/dp/B0DDQFBS3F/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-8
9367257651,"PYTHON PROGRAMMING, 3E",by Reema Thareja | 24 July 2025,5.0 out of 5 stars,(7),https://www.amazon.in/PYTHON-PROGRAMMING-3E-Reema-Thareja/dp/9367257651/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-9
9355420838,"Fluent Python: Clear, Concise, and Effective Programming, Second Edition (Grayscale Indian Edition)",by Luciano Ramalho | 6 May 2022,4.7 out of 5 stars,(742),https://www.amazon.in/Fluent-Python-Effective-Programming-Grayscale/dp/9355420838/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-10
