asin,title,author,rating,reviews,url
9365897254,"Practical Deep Learning with PyTorch: PyTorch implementation for computer vision, NLP, audio, and language translation",by Deepak Gowda | 8 April 2025,5.0 out of 5 stars,(1),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1OTQxNjc0NjEyNjIzOjE3NzYxODQ4OTU6c3BfYXRmOjMwMDU2MTE3MzEyODgzMjo6MDo6&url=%2FPractical-Deep-Learning-PyTorch-implementation%2Fdp%2F9365897254%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c%26dib_tag%3Dse%26keywords%3Dpytorch%2Bbook%26qid%3D1776184895%26sr%3D8-1-spons%26aref%3DAGHtV4RG5x%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=AGHtV4RG5x&sp_cr=ZAZ
1789614384,Mastering PyTorch: Build powerful neural network architectures using advanced PyTorch 1.x features,by Ashish Ranjan Jha | 12 February 2021,4.5 out of 5 stars,(41),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1OTQxNjc0NjEyNjIzOjE3NzYxODQ4OTU6c3BfYXRmOjMwMDE2MzkxNzgzNzAzMjo6MDo6&url=%2FMastering-PyTorch-powerful-architectures-advanced%2Fdp%2F1789614384%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c%26dib_tag%3Dse%26keywords%3Dpytorch%2Bbook%26qid%3D1776184895%26sr%3D8-2-spons%26aref%3DVFZwlDiUMW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=VFZwlDiUMW&sp_cr=ZAZ
9368082197,"Hands-On Machine Learning with Scikit-Learn and PyTorch: Concepts, Tools, and Techniques to Build Intelligent Systems (Full Colour Indian Reprint)",by Aurelien Geron | 27 October 2025,4.5 out of 5 stars,(57),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-PyTorch/dp/9368082197/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-3
9358988851,"The StatQuest Illustrated Guide to Neural Networks and AI, with hands-on examples in PyTorch!!!",by Josh Starmer PhD | 27 December 2024,4.6 out of 5 stars,(46),https://www.amazon.in/StatQuest-Illustrated-Networks-examples-PyTorch/dp/9358988851/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-4
9365898250,Building LLMs with PyTorch: A step-by-step guide to building advanced AI models with PyTorch (English Edition),by Anand Trivedi | 13 March 2025,4.7 out of 5 stars,(4),https://www.amazon.in/Building-LLMs-PyTorch-step-step/dp/9365898250/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-5
9352139097,Programming PyTorch for Deep Learning: Creating and Deploying Deep Learning Applications [Paperback] Ian Pointer,by Ian Pointer | 3 October 2019,4.2 out of 5 stars,(86),https://www.amazon.in/Programming-PyTorch-Deep-Learning-Applications/dp/9352139097/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-6
9365897254,"Practical Deep Learning with PyTorch: PyTorch implementation for computer vision, NLP, audio, and language translation",by Deepak Gowda | 8 April 2025,5.0 out of 5 stars,(1),https://www.amazon.in/Practical-Deep-Learning-PyTorch-implementation/dp/9365897254/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-7
9355424272,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD (Full Colour Edition),by Jeremy Howard and Sylvain Gugger | 16 July 2023,4.6 out of 5 stars,(604),https://www.amazon.in/Deep-Learning-Coders-Fastai-PyTorch/dp/9355424272/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-8
1801819319,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"by Sebastian Raschka , Yuxi (Hayden) Liu , et al. | 25 February 2022",4.4 out of 5 stars,(469),https://www.amazon.in/Machine-Learning-PyTorch-Scikit-Learn-learning/dp/1801819319/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-9
9368087296,"AI Systems Performance Engineering: Optimizing Model Training and Inference Workloads with GPUs, CUDA, and PyTorch (Full Colour Indian Reprint)",by Chris Fregly | 21 November 2025,4.6 out of 5 stars,(28),https://www.amazon.in/Systems-Performance-Engineering-Optimizing-Inference/dp/9368087296/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-10
