asin,title,author,rating,reviews,url
1788292065,Mastering Tensorflow,by Armando Fandango | 1 January 2018,3.0 out of 5 stars,(8),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTcwMTc3MDY4NTkzMzgxOjE3NzYxODQ4OTA6c3BfYXRmOjMwMDE2Mzk2MzI2ODEzMjo6MDo6&url=%2FMastering-Tensorflow-Armando-Fandango%2Fdp%2F1788292065%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4%26dib_tag%3Dse%26keywords%3Dtensorflow%2Bbook%26qid%3D1776184890%26sr%3D8-1-spons%26aref%3DYhEz3ZRNnG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YhEz3ZRNnG&sp_cr=ZAZ
9355421982,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems, Third Edition (Full Colour Print)",by Aurélien Géron | 10 October 2022,4.7 out of 5 stars,(368),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/9355421982/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-2
9390475791,"Mastering OpenCV with Python: Use NumPy, Scikit, TensorFlow, and Matplotlib to learn Advanced algorithms for Machine Learning through a set of Practical Projects",by Ayush Vaishya | 15 November 2023,4.8 out of 5 stars,(32),https://www.amazon.in/Mastering-OpenCV-Python-TensorFlow-Matplotlib/dp/9390475791/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-3
9355510470,Beginning with Deep Learning Using TensorFlow,by Mohan Kumar Silaparasetty | 9 February 2022,4.6 out of 5 stars,(11),https://www.amazon.in/Beginning-Deep-Learning-Using-TensorFlow/dp/9355510470/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-4
9391043828,TensorFlow 2 Pocket Reference: Building and Deploying Machine Learning Models (Grayscale Indian Edition),by KC Tung | 6 August 2021,4.3 out of 5 stars,(29),https://www.amazon.in/TensorFlow-Pocket-Reference-Deploying-Grayscale/dp/9391043828/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-5
9391392229,"Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured, Unstructured datasets and Time Series Data",by Rajdeep Dua | 22 April 2022,5.0 out of 5 stars,(5),https://www.amazon.in/Mastering-TensorFlow-2-x-Structured-Unstructured/dp/9391392229/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-6
9354642403,Deep Learning with TensorFlow JS Projects,by Umang Sharma | 21 June 2022,5.0 out of 5 stars,(10),https://www.amazon.in/Deep-Learning-TensorFlow-JS-Projects/dp/9354642403/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-7
9355516495,Design Patterns of Deep Learning with TensorFlow: Building a customer hyper-personalisation ecosystem using deep learning design patterns,by Thomas V. Joseph | 6 June 2024,5.0 out of 5 stars,(1),https://www.amazon.in/Design-Patterns-Learning-TensorFlow-hyper-personalisation/dp/9355516495/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-8
9352137043,TensorFlow for Deep Learning: From Linear Regression to Reinforcement Learning (Greyscale Indian Edition),by Reza Zadeh and Bharath Ramsundar | 1 January 2018,3.6 out of 5 stars,(34),https://www.amazon.in/Tensor-Flow-Deep-Learning-Zadeh/dp/9352137043/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-9
1803232919,"Deep Learning with TensorFlow and Keras - Third Edition: Build and deploy supervised, unsupervised, deep, and reinforcement learning models","by Amita Kapoor , Antonio Gulli , et al. | 6 October 2022",4.4 out of 5 stars,(79),https://www.amazon.in/Deep-Learning-TensorFlow-Keras-reinforcement/dp/1803232919/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-10
1838641351,Natural Language Processing with TensorFlow: The definitive NLP book to implement the most sought-after machine learning models and tasks,by Thushan Ganegedara | 20 May 2022,4.5 out of 5 stars,(16),https://www.amazon.in/Natural-Language-Processing-TensorFlow-sought-after/dp/1838641351/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-11
