asin,title,author,rating,reviews,url,description
9389898382,Artificial Intelligence for Managers,by Malay A. Upadhyay | 16 September 2020,4.5 out of 5 stars,(20),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTExNzU3OTc0MjUwODM0OjE3NzYxODQ5MDY6c3BfYXRmOjMwMDE0MzE4OTE5MjkzMjo6MDo6&url=%2FArtificial-Intelligence-Managers-Transform-Organizations%2Fdp%2F9389898382%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo%26dib_tag%3Dse%26keywords%3Dartificial%2Bintelligence%2Bbook%26qid%3D1776184906%26sr%3D8-1-spons%26aref%3DKDIGTYl6Ot%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=KDIGTYl6Ot&sp_cr=ZAZ,Reading books is a kind of enjoyment. Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.
9355513496,No-Code Artificial Intelligence,by Ambuj Agrawal | 7 March 2023,3.9 out of 5 stars,(13),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTExNzU3OTc0MjUwODM0OjE3NzYxODQ5MDY6c3BfYXRmOjMwMDE0MzE4OTE5MTUzMjo6MDo6&url=%2FNo-Code-Artificial-Intelligence-powered-applications%2Fdp%2F9355513496%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo%26dib_tag%3Dse%26keywords%3Dartificial%2Bintelligence%2Bbook%26qid%3D1776184906%26sr%3D8-2-spons%26aref%3D4tnFBWFu83%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4tnFBWFu83&sp_cr=ZAZ,"A practical guide that will help you build AI and ML solutions faster with fewer efforts and no programming knowledge

Key Features

● Start your journey to become an AI expert today.

● Learn how to build AI solutions to solve complex problems in your organization.

● Get familiar with different No-code AI tools and platforms.

Description

""No-Code Artificial Intelligence"" is a book that enables you to develop AI applications without any programming knowledge. Authored by the founder of AICromo (https: //aicromo.com/), this book takes you through an array of examples that shows how to build AI solutions using No-code AI tools.

The book starts by sharing insights on the evolution of No-code AI and the different types of No-code AI tools and platforms available in the market. The book then helps you start building applications of Machine Learning in Finance, Healthcare, Sales, and Cybersecurity. It will also teach you to create AI applications to perform sales forecasting, find fraudulent claims, and detect diseases in plants. Furthermore, the book will show how to build Machine Learning models for a variety of use cases in image recognition, video object recognition, and data prediction.

After reading this book, you will be able to build AI applications with ease.

What you will learn

● Use different No-code AI tools such as AWS Sagemaker, DataRobot, and Google AutoML.

● Learn how to create a Machine Learning model to predict housing prices.

● Build Natural Language Processing (NLP) models for Healthcare information Identification.

● Learn how to build an AI model to create targeted customer offerings.

● Use traditional ways to perform AI implementation using programming languages and AI libraries.

Who this book is for

This book is for anyone who wants to build an AI app without writing any code. It is also helpful for current and aspiring AI and Machine Learning professionals who are looking to build automated, intelligent, and smart AI-based solutions.

Table of Contents

1. What is AI?

2. Getting Started with No-Code AI

3. Building AI Model to Predict Housing Prices

4. Classifying Different Images

5. Building AI Model to Perform Sales Forecasting

6. Building AI Model to Find Fraudulent Claims

7. Building AI Model to Detect Diseases in Plants

8. Building AI Model to Create Targeted Customer Offerings

9. Building AI Model for Healthcare Information Identification

10. Building AI Model for Video Action Recognition

11. Building AI Applications with Coded AI"
9356063575,"Artificial Intelligence: A Modern Approach, 4e",by Russell/Norvig | 31 May 2022,4.4 out of 5 stars,(581),https://www.amazon.in/Artificial-Intelligence-Modern-Approach-4e/dp/9356063575/ref=sr_1_3?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-3,"The long-anticipated revision of Artificial Intelligence: A Modern Approach explores the full breadth and depth of the field of artificial intelligence (AI). The 4th Edition brings readers up to date on the latest technologies, presents concepts in a more unified manner, and offers new or expanded coverage of machine learning, deep learning, transfer learning, multiagent systems, robotics, natural language processing, causality, probabilistic programming, privacy, fairness, and safe AI.

Features

Nontechnical learning material introduces major concepts using intuitive explanations, before going into mathematical or algorithmic details.

A unified approach to AI shows students how the various subfields of AI fit together to build actual, useful programs.

In-depth coverage of both basic and advanced topics provides students with a basic understanding of the frontiers of AI without compromising complexity and depth.

NEW - New chapters feature expanded coverage of probabilistic programming; multiagent decision making; deep learning; and deep learning for natural language processing."
8119726456,AI for Everyone,by Sridhar Seshadri and Shreeram Iyer | 1 October 2024,4.2 out of 5 stars,(151),https://www.amazon.in/AI-Everyone-Common-Artificial-Intelligence/dp/8119726456/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-4,"AI For Everyone is a straightforward guide that demystifies complex concepts and makes AI accessible to all. Whether you're a tech enthusiast or a complete beginner, this book provides a solid foundation in AI, from understanding what it is and how it mimics human intelligence to identifying true AI technologies and their various applications. Discover the importance of foundational knowledge and learn how AI has evolved from academic curiosity to a transformative force in everyday life. Explore the fascinating journey of AI through engaging insights and practical examples.

AI for Everyone breaks down the core processes of AI—sensing, reasoning, and acting—using relatable analogies like Apple’s Siri. Understand the di erent types of AI, including strong AI, weak AI, and advanced systems like ChatGPT. With a rich history and promising future, AI holds endless possibilities. Equip yourself with the knowledge to navigate and harness this powerful technology, ensuring you stay ahead in an AI-driven world."
936444082X,"Artificial Intelligence and Machine Learning | Pradeep Singh, Tapan K Gandhi and Balasubramanian Raman","by Pradeep Singh, Tapan K Gandhi, et al. | 31 July 2025",4.4 out of 5 stars,(27),https://www.amazon.in/Artificial-Intelligence-Machine-Learning-Balasubramanian/dp/936444082X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-5,"📘 About the Book / Overview

This book is designed to introduce beginners to the foundational concepts and techniques that underpin AI, focusing on key concepts of Artificial Intelligence from basic to advanced. The aim is to provide a comprehensive guide that bridges theory and practice, empowering readers to harness the power of data to build intelligent solutions.

Structured to facilitate a gradual and in-depth understanding, this book takes readers on a journey through the essential aspects of Artificial Intelligence, Machine Learning, and Data Science, along with important concepts such as Reinforcement Learning, Neural Networks and Deep Learning, Natural Language Processing (NLP), and advanced machine learning techniques.

To enrich the learning experience, practical examples and exercises are included in every chapter. Additionally, future trends in AI are explored, encouraging continuous curiosity and exploration of new advancements in this dynamic field.



✨ Salient Features
✔️ Comprehensive textbook covering Artificial Intelligence (AI) and Machine Learning (ML).
✔️ Aligned with the syllabi of universities across India where AI and ML are combined subjects.
✔️ Emphasis on hands-on learning through code snippets, practical examples, and real-world case studies.
✔️ Inclusion of the latest methodologies, tools, and trends in Data Science and AI.
✔️ Discusses related topics such as NLP, Deep Learning, Neural Networks, Data Mining, and Data Warehousing.


🌐 Web Supplements
Instructor Resources:
A wealth of information is available online through McGraw-Hill’s Connect platform: https://connect.mheducation.com
📊 Lecture PowerPoint Slides
📝 Solution Manual
Student Resources:
Available at: www.mheducation.co.in
📂 Data Sets
🧠 Chapter-wise Test Bank
✔️ Answer Keys to Chapter-End Objective Questions
💡 Hints to Chapter-End Numerical Questions
📝 Additional Chapter-Wise Solved Examples
🔗 Links to Reference Materials
📚 Appendices: Linear Algebra; Probability and Statistics; Geometry and Multivariate Calculus


📑 Table of Contents
1️⃣ Foundations of Artificial Intelligence
2️⃣ Intelligent Agents and Environments
3️⃣ Search and Problem Solving
4️⃣ Knowledge Representation and Logical Reasoning
5️⃣ Probabilistic Reasoning and Uncertainty
6️⃣ Machine Learning Basics and Techniques
7️⃣ Supervised Learning Techniques
8️⃣ Unsupervised Learning Techniques
9️⃣ Neural Networks and Deep Learning
🔟 Reinforcement Learning
1️⃣1️⃣ Advanced Machine Learning Techniques
1️⃣2️⃣ Natural Language Processing (NLP)
1️⃣3️⃣ Data Mining and Predictive Analysis
1️⃣4️⃣ Data Warehousing and Business Intelligence
1️⃣5️⃣ Ethics in AI and Future Trends
🔍 Index"
0241404835,Artificial Intelligence: A Guide for Thinking Humans,by Melanie Mitchell | 1 September 2020,4.4 out of 5 stars,(1.2K),https://www.amazon.in/Artificial-Intelligence-Thinking-Humans-Pelican/dp/0241404835/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-6,"'After reading Mitchell’s guide, you’ll know what you don’t know and what other people don’t know, even though they claim to know it. And that’s invaluable'' The New York Times

A leading computer scientist brings human sense to the AI bubble

No recent scientific enterprise has been so alluring, terrifying and filled with extravagant promise and frustrating setbacks as artificial intelligence. Writing with clarity and passion, leading AI researcher Melanie Mitchell offers a captivating account of modern-day artificial intelligence.

Flavoured with personal stories and a twist of humour, Artificial Intelligence illuminates the workings of machines that mimic human learning, perception, language, creativity and common sense. Weaving together advances in AI with cognitive science and philosophy, Mitchell probes the extent to which today's 'smart' machines can actually think or understand, and whether AI even requires such elusive human qualities at all.

Artificial Intelligence: A Guide for Thinking Humans provides readers with an accessible and clear-eyed view of the AI landscape, what the field has actually accomplished, how much further it has to go and what it means for all of our futures."
0143477587,Human Edge in the AI Age: Eight Timeless Mantras for Success | By the Bestselling Author of Winning in the Digital Age and Mastering the Data Paradox,by Nitin Seth | 31 July 2025,4.8 out of 5 stars,(905),https://www.amazon.in/Human-Edge-Age-Bestselling-Mastering/dp/0143477587/ref=sr_1_7?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-7,"A seismic shift is underway―one that will redefine work, value, and even what it means to be human.
Artificial Intelligence is not just disrupting industries―it’s beginning to outperform humans in areas once considered exclusively ours: complex reasoning, creativity, even emotional intelligence. As AI accelerates, it will displace millions of jobs―while also creating once-in-a-generation opportunities for those ready to build, innovate, and lead.

This profound duality raises the defining question of our time:
In a world where machines can learn, decide, and simulate emotion―what remains uniquely human? And how do we protect, strengthen, and evolve that edge?
In Human Edge in the AI Age, bestselling author and global tech leader Nitin Seth offers a powerful and deeply personal answer. Drawing on decades of leadership across McKinsey, Fidelity, Flipkart, and Incedo―and rooted in the timeless wisdom of Indian philosophy―he reframes the AI debate through a human lens.
At the heart of the book is POSSIBLE: an eight-dimensional framework that unlocks the core human strengths that will define success in the AI era―including problem-solving, openness, spirituality, balance, leadership, and the spirit of entrepreneurship.
Whether you're a student stepping into an uncertain future, a professional navigating change, or a leader shaping what comes next, this is your blueprint for thriving―not in spite of AI, but because of what makes you human.
The future is POSSIBLE. Let’s lead it with the human edge."
9361591754,AI for Everyone: A Beginner's Handbook for Artificial Intelligence (AI) | Aligned to NEP-CCF Value Added Course | - Pearson,"by Saptarsi Goswami , Amit Kumar Das, et al. | 23 May 2024",4.4 out of 5 stars,(163),https://www.amazon.in/AI-Everyone-Beginners-Artificial-Intelligence/dp/9361591754/ref=sr_1_8?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-8,"“AI for Everyone"" is a humble attempt made by authors to introduce the basic concepts of artificial intelligence or AI in a simple but comprehensive way. The book starts with a quick anecdote of the evolution of AI, which is followed by presenting the industry use cases across diverse domains. It also discusses the different technology areas under the gamut of AI, the ethical concerns related to AI and how they should be addressed, and research opportunities related to AI. It ends with a discussion of the emerging trends and future directions in AI.

The authors, being veteran professionals in the areas of academics and industry, have tried to bring in comprehensively all the required elements of knowledge - both in the areas of academic and industry practitioner.

Features –

Comprehensive coverage of industry applications of AI
Sample questions at the end of each chapter help the students to prepare for the examination
Lucid writing style facilitating easy grasping of concepts"
8176711411,"Artificial Intelligence 5 th updated, Rich and Knight",by Kevin Knight and Elaine Rich | 30 July 2025,4.5 out of 5 stars,(2),https://www.amazon.in/Artificial-Intelligence-updated-Rich-Knight/dp/8176711411/ref=sr_1_9?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-9,New 5 th updated version of Artificial Intelligence title by Elaine Rich
0008560137,A Brief History of Intelligence: Why the Evolution of the Brain Holds the Key to the Future of AI,by Max Bennett | 25 October 2024,4.6 out of 5 stars,(1K),https://www.amazon.in/Brief-History-Intelligence-Evolution-Future/dp/0008560137/ref=sr_1_10?dib=eyJ2IjoiMSJ9.6xIdgkUbJ5UXrLg20nG3Fo6alqpbl3M195ahKxyPq_1iqh9rd14NSBPtNWkO2vYERMc4vfKYG24FIXPupGfopN-yKT0zPBi-CA6AxMWJOBZd0U55LQ1t9WqED-SBZhVSk0AjpTZFe6y5_YtMsi3ctzmVeIzaMJVnasM3SbnD2oH2JgpkuSLEJnYEeIENsu5nu9YwKoS6ma2ftxDpZjwAe02Ih7cbRx1so4a7kcoG3kE.DNt6lgeX5Y4h8ct6cMsLjYcNbBfaR6JEvyyj364dQPo&dib_tag=se&keywords=artificial+intelligence+book&qid=1776184906&sr=8-10,"Bridges the gap between AI and neuroscience by telling the story of how the brain came to be.''I found this book amazing'' Daniel Kahneman, Winner of the Nobel Prize in Economics and bestselling author of Thinking Fast & SlowThe entirety of the human brain’s 4-billion-year story can be summarised as the culmination of five evolutionary breakthroughs, starting from the very first brains, all the way to the modern human brains. Each breakthrough emerged from new sets of brain modifications, and equipped animals with a new suite of intellectual faculties.These five breakthroughs are the organising map to this book, and they make up our itinerary for our adventure back in time. Each breakthrough also has fascinating corollaries to breakthroughs in AI. Indeed, there will be plenty of such surprises along the way. For instance: the innovation that enabled AI to beat humans in the game of Go – temporal difference reinforcement learning – was an innovation discovered by our fish ancestors over 500 million years ago. The solutions to many of the current mysteries in AI – such as ‘common sense’ – can be found in the tiny brain of a mouse. Where do emotions come from? Research suggests that they may have arisen simply as a solution to navigation in ancient worm brains. Unravelling this evolutionary story will reveal the hidden features of human intelligence and with them, just how your mind came to be."
