asin,title,author,rating,reviews,url,description
8192107531,The Ultimate C,by R. Nageswara Rao | 29 June 2012,4.4 out of 5 stars,(50),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYXRmOjMwMDAyODAwMzg3OTUzMjo6MDo6&url=%2FUltimate-Concepts-Programs-Interview-Questions%2Fdp%2F8192107531%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-1-spons%26aref%3DvyTyhCFgzf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=vyTyhCFgzf&sp_cr=ZAZ,"The main objective of writing this book is that every student should be able to acquire necessary skills required to become a programmer. The logic of each and every problem is explained in a simple manner which helps the student to write better programs. This book discusses all concepts of C starting from fundamentals to advanced topics in a lucid manner. It covers hundreds of solved programs which are useful to the students for their examinations. It also covers the interview questions which help the students come up with flying colors in their career. Salient Features: All the concepts are discussed in a lucid, easy to understand manner. A reader without any basic knowledge in computer s can comfortably follow this book. Helps to build logic in the students which becomes stepping stone for programming. Interview questions collected from the actual interviews of various Software companies will help the students to be successful in their campus interviews. Hundreds of solved programs help the students of Indian Universities do well in their examinations like B.C.A, B.Sc, M.Sc, M.C.A, B.E, B.Tech, M.Tech, etc. Works like a handy reference to the Software professionals in their programming. Starting at basic level, this book covers advanced topics like Pointers, Data structures, Searching and sorting techniques and Graphics. Table of Contents: 1. Fundamental Concepts in C 2. Data types and operators 3. Control statements in C 4. Arrays 5. Functions 6. Characters and strings 7. Storage Classes 8. Pointers 9. Structures and Unions 10. File Concepts 11. Command Line Arguments 12. Macros and Enumerations 13. Data Structures in C 14. Searching, Sorting and Merging 15. Graphics and Animation Apendix - I: List of Programs Apendix - I :List of Interview Questions"
0367566001,"C: FROM THEORY TO PRACTICE, SECOND EDITION",by George S. Tselikis and Nikolaos D. Tselikas | 1 July 2020,4.5 out of 5 stars,(9),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzA4OTAxOTAwMzM1MDQ5OjE3NzYxODQ4NjA6c3BfYXRmOjMwMDg0OTc0OTY3NTIzMjo6MDo6&url=%2FTheory-Practice-George-S-Tselikis%2Fdp%2F0367566001%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY%26dib_tag%3Dse%26keywords%3Dc%2Bbook%26qid%3D1776184860%26sr%3D8-2-spons%26aref%3DEyCF8PKpK9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=EyCF8PKpK9&sp_cr=ZAZ,"This easy-to-use, classroom-tested textbook covers the C programming language for computer science and IT students. Designed for a compulsory fundamental course, it presents the theory and principles of C. More than 500 exercises and examples of progressive difficulty aid students in understanding all the aspects and peculiarities of the C language. The exercises test students on various levels of programming and the examples enhance their concrete understanding of programming know-how. Instructor's manual and PowerPoint slides are available upon qualifying course adoption"
9332549443,"C PROGRAMMING LANGUAGE, 2ND EDN",by Brian W. Kernighan / Dennis Ritchie | 1 January 2015,4.4 out of 5 stars,(4.2K),https://www.amazon.in/C-PROGRAMMING-LANGUAGE-2ND-EDN/dp/9332549443/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-3,"The Second Edition of The C Programming Language The book enumerates the concepts related to C Programming language, as prescribed by ANSI standard. The book elaborates on the basics of procedure oriented programming and the fundamentals of writing C codes. It goes on to cover aspects like functions and loops, learning which will help novice programmers to code elementary level codes properly. concepts Covered Each concept is covered using tracing to explain how the particular coding element works, real- time programs to help users understand how to implement learned concepts and computerized outputs to assure validity of programs written. Elementary programming concepts like arrays, loops, assignment statements and operators, functions, file processing, data structures, etc. have been covered in the book. Solved and unsolved questions have been provided to help programmers develop an expertise in writing C codes flawlessly. Error correction exercises, code modification exercises and several such skill-testing exercised have been provided to help students analyse their understanding and knowledge. Model questions have been provided as per examination pattern to help students test themselves. About The Author Brian Willis Kernighan, born on 1 January, 1942, is a Canadian computer scientist who is responsible for the development and authoring of the AWK and AMPL programming languages. He also worked in developed UNIX, while he was a part of Bell Labs. Kernighan became renowned by co-authoring the book, The C Programming Language, along with Dennis Ritchie, who also worked in the development project of UNIX. He is currently the Computer Science Professor at Princeton University and has a huge number of accolades to his credit. The book is available online for convenient shopping. You can bag this book from A today by following a few easy steps."
9365899680,Let Us C - 21st Edition - Includes Chat GPT Programming + Security Programming - 21st/Ed. - For 2026 Exams,by Yashvant Kanetkar | 4 September 2025,4.6 out of 5 stars,(64),https://www.amazon.in/Let-Us-Programming-Security-Exams/dp/9365899680/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-4,"Discover the world of C programming with this comprehensive guide from renowned author Yashavant Kanetkar, now in its milestone 21st edition. This bestseller, having sold over 3 million copies, continues to be the authentic reference for learning the C programming language. The latest edition includes cutting-edge topics like ChatGPT programming and security programming, making it relevant for modern developers. Published by BPB Publications, this book serves as an excellent resource for students preparing for 2026 examinations and programming enthusiasts alike. The content is structured to provide both beginners and intermediate programmers with clear concepts, practical examples, and systematic learning progression. Whether you're starting your programming journey or looking to enhance your C language expertise, this updated edition offers contemporary insights while maintaining its trusted teaching methodology."
0070411832,"C: THE COMPLETE REFERENCE, 4TH EDN",by Herbert Schildt | 1 July 2017,4.4 out of 5 stars,(456),https://www.amazon.in/C-Complete-Reference-Herbert-Schildt/dp/0070411832/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-5,"Another gem from Herb Schildt--best-selling programming author with more than 2. 5 million books sold! C: The Complete Reference, Fourth Edition gives you full details on C99, the New ANSI/ISO Standard for C. You'll get in-depth coverage of the C language and function libraries as well as all the newest C features, including restricted pointers, inline functions, variable-length arrays, and complex math. This jam-packed resource includes hundreds of examples and sample applications."
9355326726,Programming in ANSI C | 9th Edition | Balagurusamy,by E Balagurusamy | 11 July 2024,4.4 out of 5 stars,(104),https://www.amazon.in/Programming-ANSI-Balagurusamy-McGraw-Hill/dp/9355326726/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-6,"Designed to meet the needs of first-time learners and lifelong enthusiasts alike, this book invites readers to embark on a comprehensive journey through the world of C programming. Continuing its legacy as a bestseller, this edition offers a structured approach, guiding readers from basic to advanced concepts. With rich pedagogy and challenging exercises, it remains invaluable for learners and instructors alike. Enriched with practical applications, the book fosters hands-on experience crucial for success in software development. With a modern perspective and engaging content, this edition equips readers with essential skills tailored for today’s industry demands.




Salient Features
1. Comprehensive coverage of both fundamental principles and the latest advancements in C programming.

2. Each chapter adopts an outcome-based learning methodology aligned with “Bloom’s Taxonomy”.

3. Robust pedagogical elements, including:

o Worked-out Programming Problems

o Tips and Essential Notes

o “Always Remember"" section for a quick concept recap

o 24 Case Studies

o Multiple Choice Questions

o Programming and Debugging Exercises

o Interview Questions

o Critical Thinking Questions

4. Two captivating projects:

o Electricity Board Management System

o Creating Web Services in C

5. An engaging appendix dedicated to “Graphic Programming Using C”."
8183330487,C In Depth,by S.K.Srivastava/Deepali Srivastava | 30 June 2009,4.4 out of 5 stars,(1.5K),https://www.amazon.in/C-Depth-Deepali-Srivastava/dp/8183330487/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-7,Reading books is a kind of enjoyment. Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.
B0GK1H6SCD,Programming With C & C++ B.Com I-Year II-Sem (Computer Applications) As Per the Latest O.U (2025-26) CBCS Syllabus (Including LAB Practical with Solutions) Latest 2026 Edition,by SIA Team Of Experts | 26 January 2026,,,https://www.amazon.in/Programming-Applications-Including-Practical-Solutions/dp/B0GK1H6SCD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-8,Complete Syllabus Covered for: OU * Also Useful for: KU | MGU | PU | TU | SU |
9387394891,A Textbook of Basics of C Programming by Vikash Kumar Gupta,by Vikash Kumar Gupta | 1 January 2020,4.6 out of 5 stars,(17),https://www.amazon.in/Programming-engineering-Jharkhand-University-Technology/dp/9387394891/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-9,The present book is basically prepared fulfilling the Programming knowledge requirements of all types of engineering students. The main objective of the book are to provide a clear explanation of the operation of all programming concept in general use on today and to impact knowledge of C Programming. The aim of this book is to provide an awareness of C Programming and Numerical Methods in easy way and clear logical concepts of students. Also it gives the correct efficient ways to solving problems.
9369145729,"GKP Codewise- C, C++, Java, Python & R Complete Programmer Reference By Dr.Mohd. Abdul Hameed",by Dr. Mohd. Abdul Hameed | 21 October 2025,5.0 out of 5 stars,(4),https://www.amazon.in/Codewise-Complete-Programmer-Reference-Dr-Mohd/dp/9369145729/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0UlNBDW6SkmjDHLNPGBOI7uGXjINREW-aF0_oNvZMRfku-SsyI_Ajv3vTpNKFylq7QPm5gv6BRI77HoYvIX1KXXi0-o2Za41z5vuNzji1OUk_lhMyj0k2IcuAo5j-k87JTYTpM7nicvubHZPa2eD6uaMZjgfji0ACQ77P9s-j_m4FJM2c_v54Oh1vUtEIP2PZGX7kPsUJ51noEZ7Vpc8tfcuyCSWDdExVkAdWIGHYS0.r-aPdduOSncpYk2mfO9HviJHNv6Z-DHcvh4_y6EgnuY&dib_tag=se&keywords=c+book&qid=1776184860&sr=8-10,"This book is a comprehensive guide to five essential programming languages—C, C++, Java, Python, and R—designed for students, educators, and professionals. It covers fundamental concepts, including loops, functions, arrays, strings, OOP, exception handling, multi-threading, and file handling, with clear explanations, algorithms, flowcharts, and fully executable code in all five languages.

Its comparative approach helps learners understand differences in syntax, structure, and efficiency, enhancing coding versatility and decision-making for applications from system programming to data analytics. Perfect for self-study, academic reference, or interview prep, it bridges theory and practice in a single resource.

Key Features:

Multi-language coverage: C, C++, Java, Python, R
Step-by-step algorithms, flowcharts, and problem-solving logic
Comparative examples for better understanding
Analysis of time and space complexity
Includes executable code for practice
Ideal for students, educators, and programmers"
