asin,title,author,rating,reviews,url,description
9353945461,"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence","by Jon Krohn , Grant Beyleveld, et al. | 10 June 2020",3.9 out of 5 stars,(49),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjkyODQ3MDA3ODI1MDQzOjE3NzYxODQ5MTI6c3BfYXRmOjMwMDU4MzU0NjQ4MjUzMjo6MDo6&url=%2FDeep-Learning-Illustrated-Interactive-Intelligence%2Fdp%2F9353945461%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg%26dib_tag%3Dse%26keywords%3Ddeep%2Blearning%2Bbook%26qid%3D1776184912%26sr%3D8-1-spons%26aref%3Df6Gri3kn2V%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=f6Gri3kn2V&sp_cr=ZAZ,Printed Books
9356063974,Pearson LEARNING DEEP LEARNING | FIRST EDITION,by Ekman | 29 June 2022,4.8 out of 5 stars,(7),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjkyODQ3MDA3ODI1MDQzOjE3NzYxODQ5MTI6c3BfYXRmOjMwMDU4MzU0NjQ4MjczMjo6MDo6&url=%2FLEARNING-DEEP-FIRST-Ekman%2Fdp%2F9356063974%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg%26dib_tag%3Dse%26keywords%3Ddeep%2Blearning%2Bbook%26qid%3D1776184912%26sr%3D8-2-spons%26aref%3DtcUk5QqsIG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=tcUk5QqsIG&sp_cr=ZAZ,Printed Books
B0FQ644F1B,"Deep Learning by Goodfellow, Bengio, and Courville, Hardcover Book on Artificial Intelligence",Up to 5% back with Amazon Pay ICI...,4.6 out of 5 stars,(2.3K),https://www.amazon.in/Goodfellow-Courville-Hardcover-Artificial-Intelligence/dp/B0FQ644F1B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-3,"Dive deep into the revolutionary field of artificial intelligence with this comprehensive hardcover book on deep learning. Written by renowned experts Ian Goodfellow, Yoshua Bengio, and Aaron Courville, this authoritative text serves as both an introduction and advanced guide to the principles and practices of deep learning. The book covers essential concepts, mathematical foundations, and practical implementations that power modern AI systems. Perfect for students, researchers, and practitioners alike, it provides clear explanations of neural networks, optimization algorithms, and cutting-edge deep learning architectures. Whether you're starting your journey in machine learning or seeking to enhance your expertise, this volume offers invaluable insights into the technology that's reshaping our world. The systematic approach and thorough coverage make it an indispensable resource for anyone serious about understanding and implementing deep learning techniques."
9367138660,Deep Learning | 1st Edition | - Pearson,by S. Sridhar and D. Narashiman | 28 February 2025,4.1 out of 5 stars,(19),https://www.amazon.in/Deep-Learning-1st-S-Sridhar/dp/9367138660/ref=sr_1_4?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-4,"Deep Learning is designed as a textbook for undergraduate and postgraduate students, providing a strong foundation in deep learning concepts. The book begins with fundamental topics such as artificial intelligence, machine learning, natural language processing, image processing, and computer vision, which are essential for understanding deep learning technologies. Core deep learning concepts, including neural networks, activation functions, loss functions, optimization, and regularization, are explored in depth. Additionally, the book introduces data fundamentals, ensuring a complete learning experience.

The book covers major deep learning architectures, including Convolutional Neural Networks (CNNs) and Object Detection Networks, with discussions on R-CNN family algorithms, YOLO networks and image segmentation networks. Advanced CNN architectures such as AlexNet, VGGNet, InceptionNet, and ResNet are presented alongside transfer learning applications. The concepts of autoencoders and Recurrent Neural Networks (RNNs), including LSTMs and GRUs, are also introduced. Beyond CNNs, the book also explores Generative AI, covering Large Language Models (LLMs) such as ChatGPT and Generative Adversarial Networks (GANs). It introduces advanced topics like Transformer architectures, along with dedicated chapters on Restricted Boltzmann Machines (RBMs), Deep Belief Networks (DBNs), and Deep Reinforcement Learning algorithms.

Features –

📚 Deep learning concepts are presented in a clear, concise, and approachable manner, making complex topics easy to understand.

🔍 Hands-on Learning with an online Keras lab manual, enabling practical implementation of deep learning algorithms.

🌟 Extensive solved numerical problems, providing clarity and reinforcing deep learning concepts.

🎯 Comprehensive learning support, including summaries, glossaries, conceptual questions, numerical problems, and multiple-choice questions.

💡 Engaging pedagogical techniques, such as crossword puzzles and jumbled words, to reinforce key concepts."
9355424272,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD (Full Colour Edition),by Jeremy Howard and Sylvain Gugger | 16 July 2023,4.6 out of 5 stars,(604),https://www.amazon.in/Deep-Learning-Coders-Fastai-PyTorch/dp/9355424272/ref=sr_1_5?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-5,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

Deep learning is often viewed as the exclusive domain of math PhDs and big tech companies. But as this hands-on guide demonstrates, programmers comfortable with Python can achieve impressive results in deep learning with little math background, small amounts of data, and minimal code. How? With fastai, the first library to provide a consistent interface to the most frequently used deep learning applications.

Authors Jeremy Howard and Sylvain Gugger, the creators of fastai, show you how to train a model on a wide range of tasks using fastai and PyTorch. You’ll also dive progressively further into deep learning theory to gain a complete understanding of the algorithms behind the scenes.

Train models in computer vision, natural language processing, tabular data, and collaborative filtering
Learn the latest deep learning techniques that matter most in practice
Improve accuracy, speed, and reliability by understanding how deep learning models work
Discover how to turn your models into web applications
Implement deep learning algorithms from scratch
Consider the ethical implications of your work
Gain insight from the foreword by PyTorch cofounder, Soumith Chintala"
3031454677,Deep Learning: Foundations and Concepts,by Christopher M. Bishop and Hugh Bishop | 28 November 2023,4.3 out of 5 stars,(234),https://www.amazon.in/Deep-Learning-Foundations-Christopher-Bishop/dp/3031454677/ref=sr_1_6?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-6,"This book offers a comprehensive introduction to the central ideas that underpin deep learning. It is intended both for newcomers to machine learning and for those already experienced in the field. Covering key concepts relating to contemporary architectures and techniques, this essential book equips readers with a robust foundation for potential future specialization. The field of deep learning is undergoing rapid evolution, and therefore this book focusses on ideas that are likely to endure the test of time.

The book is organized into numerous bite-sized chapters, each exploring a distinct topic, and the narrative follows a linear progression, with each chapter building upon content from its predecessors. This structure is well-suited to teaching a two-semester undergraduate or postgraduate machine learning course, while remaining equally relevant to those engaged in active research or in self-study.


A full understanding of machine learning requires some mathematical background and so the book includes a self-contained introduction to probability theory. However, the focus of the book is on conveying a clear understanding of ideas, with emphasis on the real-world practical value of techniques rather than on abstract theory. Complex concepts are therefore presented from multiple complementary perspectives including textual descriptions, diagrams, mathematical formulae, and pseudo-code.

Chris Bishop is a Technical Fellow at Microsoft and is the Director of Microsoft Research AI4Science. He is a Fellow of Darwin College Cambridge, a Fellow of the Royal Academy of Engineering, and a Fellow of the Royal Society. 

Hugh Bishop is an Applied Scientist at Wayve, a deep learning autonomous driving company in London, where he designs and trains deep neural networks. He completed his MPhil in Machine Learning and Machine Intelligence at Cambridge University.

“Chris Bishop wrote a terrific textbook on neural networks in 1995 and has a deep knowledge of the field and its core ideas. His many years of experience in explaining neural networks have made him extremely skillful at presenting complicated ideas in the simplest possible way and it is a delight to see these skills applied to the revolutionary new developments in the field.” -- Geoffrey Hinton

""With the recent explosion of deep learning and AI as a research topic, and the quickly growing importance of AI applications, a modern textbook on the topic was badly needed. The ""New Bishop"" masterfully fills the gap, covering algorithms for supervised and unsupervised learning, modern deep learning architecture families, as well as how to apply all of this to various application areas."" – Yann LeCun


“This excellent and very educational book will bring the reader up to date with the main concepts and advances in deep learning with a solid anchoring in probability. Theseconcepts are powering current industrial AI systems and are likely to form the basis of further advances towards artificial general intelligence.” --  Yoshua Bengio"
9354493874,DEEP LEARNING,"by Amlan Chakrabarti Amit Kumar Das, Saptarsi Goswami, Pabitra Mitra | 1 June 2021",4.5 out of 5 stars,(20),https://www.amazon.in/Learning-Pearson-Saptarsi-Goswami-Chakrabarti/dp/9354493874/ref=sr_1_7?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-7,Printed Books
8126579919,Deep Learning Using Python,"by S Lovelyn Rose , L Ashok Kumar , et al. | 1 January 2019",4.4 out of 5 stars,(63),https://www.amazon.in/Deep-Learning-Using-Python-Lovelyn/dp/8126579919/ref=sr_1_8?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-8,"The book has been divided into seven chapters. chapter 1 elaborately deals with the fundamentals of deep learning, to enable any reader to understand the deep learning architectures elaborated in subsequent chapters. chapter 2 deals with convolutional neural networks (cnns), which have proven to be very effective in the area of computer vision. chapter 3 deals with recurrent neural networks (runs) and its variants. The various types of autoencoders, which are a type of artificial neural network used to learn efficient data Encoding, are presented in Chapter 4. To learn the probability distribution over the set of inputs, restricted Boltzmann machine (RBI) is discussed in Chapter 5. chapter 6 presents popular open source frameworks in Python for deep learning applications. chapter 7 describes how to utilize the knowledge that you have gained from previous chapters in real-time applications."
0262537559,Deep Learning,by John D. Kelleher | 10 September 2019,4.5 out of 5 stars,(470),https://www.amazon.in/DEEP-LEARNING-John-D-Kelleher/dp/0262537559/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-9,"An accessible introduction to the artificial intelligence technology that enables computer vision, speech recognition, machine translation, and driverless cars.

Deep learning is an artificial intelligence technology that enables computer vision, speech recognition in mobile phones, machine translation, AI games, driverless cars, and other applications. When we use consumer products from Google, Microsoft, Facebook, Apple, or Baidu, we are often interacting with a deep learning system. In this volume in the MIT Press Essential Knowledge series, computer scientist John Kelleher offers an accessible and concise but comprehensive introduction to the fundamental technology at the heart of the artificial intelligence revolution.

Kelleher explains that deep learning enables data-driven decisions by identifying and extracting patterns from large datasets; its ability to learn from complex data makes deep learning ideally suited to take advantage of the rapid growth in big data and computational power. Kelleher also explains some of the basic concepts in deep learning, presents a history of advances in the field, and discusses the current state of the art. He describes the most important deep learning architectures, including autoencoders, recurrent neural networks, and long short-term networks, as well as such recent developments as Generative Adversarial Networks and capsule networks. He also provides a comprehensive (and comprehensible) introduction to the two fundamental algorithms in deep learning: gradient descent and backpropagation. Finally, Kelleher considers the future of deep learning—major trends, possible developments, and significant challenges."
9355429983,"Generative Deep Learning: Teaching Machines To Paint, Write, Compose, and Play, Second Edition (Grayscale Indian Edition)",by David Foster and Karl Friston | 24 May 2023,4.5 out of 5 stars,(204),https://www.amazon.in/Generative-Deep-Learning-Teaching-Grayscale/dp/9355429983/ref=sr_1_10?dib=eyJ2IjoiMSJ9.TI_DBnZ9Ewk07PoLiUSdM_s8ea_m423940yWuAZ0zvVVX2RwBRsugexd-a-8qOPyYHrcdy8fDMYEsQsh1bYOpDV8XgEqlebBOJkof8qZ34_nQU6cvUrg2z3tvcA9egjxYx0l6LYdjDQj-04-Zsd0ILslo91lhv-1Yn9TGgp6QvMQD7cLFOXtVJLYzZzg6k3_1x7h5p_d2VdtFkOjAn5TBCd4xFsG5JnuPUI5YCThF34.vkMP8X5UzuEqzVB0KfpmBEpIwxKdKXswxZDmdvdO7bg&dib_tag=se&keywords=deep+learning+book&qid=1776184912&sr=8-10,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale.

Generative AI is the hottest topic in tech. This practical book teaches machine learning engineers and data scientists how to use TensorFlow and Keras to create impressive generative deep learning models from scratch, including variational autoencoders (VAEs), generative adversarial networks (GANs), Transformers, normalizing flows, energy-based models, and denoising diffusion models.

The book starts with the basics of deep learning and progresses to cutting-edge architectures. Through tips and tricks, you'll understand how to make your models learn more efficiently and become more creative.

Discover how VAEs can change facial expressions in photos
Train GANs to generate images based on your own dataset
Build diffusion models to produce new varieties of flowers
Train your own GPT for text generation
Learn how large language models like ChatGPT are trained
Explore state-of-the-art architectures such as StyleGAN2 and ViT-VQGAN
Compose polyphonic music using Transformers and MuseGAN
Understand how generative world models can solve reinforcement learning tasks
Dive into multimodal models such as DALL.E 2, Imagen, and Stable Diffusion

This book also explores the future of generative AI and how individuals and companies can proactively begin to leverage this remarkable new technology to create competitive advantage."
