asin,title,author,rating,reviews,url,description
8126579900,Machine Learning using Python,by Manaranjan Pradhan and U Dinesh Kumar | 1 January 2019,4.3 out of 5 stars,(747),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYXRmOjIwMDIzMjY0MzkyNTA2OjowOjo&url=%2FMachine-Learning-Python-Manaranjan-Pradhan%2Fdp%2F8126579900%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-1-spons%26aref%3DaB1wHbT5FG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=aB1wHbT5FG&sp_cr=ZAZ,"This book is written to provide a strong foundation in machine learning using Python libraries by providing real-life case studies and examples. It covers topics such as foundations of machine learning, introduction to Python, descriptive analytics and predictive analytics. Advanced machine learning concepts such as decision tree learning, random forest, boosting, recommended systems, and text analytics are covered. The book takes a balanced approach between theoretical understanding and practical applications. All the topics include real-world examples and provide step-by-step approach on how to explore, build, evaluate, and optimize machine learning models."
8126563052,Machine Learning (in Python and R) for Dummies,by John Paul Mueller and Luca Massaron | 1 January 2016,4.4 out of 5 stars,(515),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYXRmOjIwMDIzMjY0MzkyOTA2OjowOjo&url=%2FMachine-Learning-Python-R-Dummies%2Fdp%2F8126563052%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-2-spons%26aref%3DgB8qSrC9WS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=gB8qSrC9WS&sp_cr=ZAZ,"Machine learning can be a mind-boggling concept for the masses, but those who are in the trenches of computer programming know just how invaluable it is. Without machine learning, fraud detection, web search results, real-time ads on web pages, credit scoring, automation and email spam filtering wouldn't be possible and this is only showcasing just a few of its capabilities. Written by two data science experts, Machine Learning For Dummies offers a much-needed entry point for anyone looking to use machine learning to accomplish practical tasks."
9355421982,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems, Third Edition (Full Colour Print)",by Aurélien Géron | 10 October 2022,4.7 out of 5 stars,(368),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/9355421982/ref=sr_1_3?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-3,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

Through a recent series of breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This best-selling book uses concrete examples, minimal theory, and production-ready Python frameworks--scikit-learn, Keras, and TensorFlow--to help you gain an intuitive understanding of the concepts and tools for building intelligent systems.

With this updated third edition, author Aurelien Geron explores a range of techniques, starting with simple linear regression and progressing to deep neural networks. Numerous code examples and exercises throughout the book help you apply what you've learned. Programming experience is all you need to get started.

Use scikit-learn to track an example machine learning project end to end
Explore several models, including support vector machines, decision trees, random forests, and ensemble methods
Exploit unsupervised learning techniques such as dimensionality reduction, clustering, and anomaly detection
Dive into neural net architectures, including convolutional nets, recurrent nets, generative adversarial networks, and transformers
Use TensorFlow and Keras to build and train neural nets for computer vision, natural language processing, generative models, and deep reinforcement learning
Train neural nets using multiple GPUs and deploy them at scale using Google's Vertex AI"
9362056860,Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition),by Oliver Theobald | 22 March 2024,4.4 out of 5 stars,(546),https://www.amazon.in/Machine-Learning-Absolute-Beginners-Introduction/dp/9362056860/ref=sr_1_4?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-4,"Featured by Tableau as the first of ""7 Books About Machine Learning for Beginners."" Machine Learning for Absolute Beginners Third Edition has been written and designed for absolute beginners. This means plain-English explanations and no coding experience required. Where core algorithms are introduced, clear explanations and visual examples are added to make it easy to follow along at home. Ready to spin up a virtual GPU instance and smash through petabytes of data? Want to add 'Machine Learning' to your LinkedIn profile? Well, hold on there... Before you embark on your journey, there are some high-level theory and statistical principles to weave through first. But rather than spend $30-$50 USD on a thick textbook, you may want to read this book first. As a clear and concise alternative, this book provides a high-level introduction to machine learning, free downloadable code exercises, and video demonstrations."
9368082197,"Hands-On Machine Learning with Scikit-Learn and PyTorch: Concepts, Tools, and Techniques to Build Intelligent Systems (Full Colour Indian Reprint)",by Aurelien Geron | 27 October 2025,4.5 out of 5 stars,(57),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-PyTorch/dp/9368082197/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-5,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

The potential of machine learning today is extraordinary, yet many aspiring developers and tech professionals find themselves daunted by its complexity. Whether you're looking to enhance your skill set and apply machine learning to real-world projects or are simply curious about how AI systems function, this book is your jumping-off place.

With an approachable yet deeply informative style, author Aurelien Geron delivers the ultimate introductory guide to machine learning and deep learning. Drawing on the Hugging Face ecosystem, with a focus on clear explanations and real-world examples, the book takes you through cutting-edge tools like Scikit-Learn and PyTorch from basic regression techniques to advanced neural networks. Whether you're a student, professional, or hobbyist, you'll gain the skills to build intelligent systems.

Understand ML basics, including concepts like overfitting and hyperparameter tuning
Complete an end-to-end ML project using scikit-Learn, covering everything from data exploration to model evaluation
Learn techniques for unsupervised learning, such as clustering and anomaly detection
Build advanced architectures like transformers and diffusion models with PyTorch
Harness the power of pretrained models including LLMs and learn to fine-tune them
Train autonomous agents using reinforcement learning"
9352134575,Introduction to Machine Learning with Python: A Guide for Data Scientists (Greyscale Indian Edition),by Andreas Muller | 1 January 2016,4.4 out of 5 stars,(777),https://www.amazon.in/Introduction-Machine-Learning-Python-Scientists/dp/9352134575/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-6,"Machine learning has become an integral part of many commercial applications and research projects, but this field is not exclusive to large companies with extensive research teams. If you use Python, even as a beginner, this book will teach you practical ways to build your own machine learning solutions. With all the data available today, machine learning applications are limited only by your imagination.

You'll learn the steps necessary to create a successful machine-learning application with Python and the scikit-learn library. Authors Andreas MŸller and Sarah Guido focus on the practical aspects of using machine learning algorithms, rather than the math behind them. Familiarity with the NumPy and matplotlib libraries will help you get even more from this book.

With this book, you'll learn:
Fundamental concepts and applications of machine learning
Advantages and shortcomings of widely used machine learning algorithms
How to represent data processed by machine learning, including which data aspects to focus on
Advanced methods for model evaluation and parameter tuning
The concept of pipelines for chaining models and encapsulating your workflow
Methods for working with text data, including text-specific processing techniques
Suggestions for improving your machine learning and data science skills."
110845514X,MATHEMATICS FOR MACHINE LEARNING,"by Marc Peter Deisenroth , A. Aldo Faisal , et al. | 1 April 2020",4.4 out of 5 stars,(1K),https://www.amazon.in/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-7,"The fundamental mathematical tools needed to understand machine learning include linear algebra, analytic geometry, matrix decompositions, vector calculus, optimization, probability and statistics. These topics are traditionally taught in disparate courses, making it hard for data science or computer science students, or professionals, to efficiently learn the mathematics. This self-contained textbook bridges the gap between mathematical and machine learning texts, introducing the mathematical concepts with a minimum of prerequisites. It uses these concepts to derive four central machine learning methods: linear regression, principal component analysis, Gaussian mixture models and support vector machines. For students and others with a mathematical background, these derivations provide a starting point to machine learning texts. For those learning the mathematics for the first time, the methods help build intuition and practical experience with applying mathematical concepts. Every chapter includes worked examples and exercises to test understanding. Programming tutorials are offered on the book's web site."
9355422679,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications (Grayscale Indian Edition),by Chip Huyen | 1 June 2022,4.6 out of 5 stars,(929),https://www.amazon.in/Designing-Machine-Learning-Systems-Production-Ready/dp/9355422679/ref=sr_1_8?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-8,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale.

Machine learning systems are both complex and unique. Complex because they consist of many different components and involve many different stakeholders. Unique because they're data dependent, with data varying wildly from one use case to the next. In this book, you'll learn a holistic approach to designing ML systems that are reliable, scalable, maintainable, and adaptive to changing environments and business requirements.

Author Chip Huyen, co-founder of Claypot AI, considers each design decision--such as how to process and create training data, which features to use, how often to retrain models, and what to monitor--in the context of how it can help your system as a whole achieve its objectives. The iterative framework in this book uses actual case studies backed by ample references.

This book will help you tackle scenarios such as:

Engineering data and choosing the right metrics to solve a business problem
Automating the process for continually developing, evaluating, deploying, and updating models
Developing a monitoring system to quickly detect and address issues your models might encounter in production
Architecting an ML platform that serves across use cases
Developing responsible ML systems"
936444082X,"Artificial Intelligence and Machine Learning | Pradeep Singh, Tapan K Gandhi and Balasubramanian Raman","by Pradeep Singh, Tapan K Gandhi, et al. | 31 July 2025",4.4 out of 5 stars,(27),https://www.amazon.in/Artificial-Intelligence-Machine-Learning-Balasubramanian/dp/936444082X/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-9,"📘 About the Book / Overview

This book is designed to introduce beginners to the foundational concepts and techniques that underpin AI, focusing on key concepts of Artificial Intelligence from basic to advanced. The aim is to provide a comprehensive guide that bridges theory and practice, empowering readers to harness the power of data to build intelligent solutions.

Structured to facilitate a gradual and in-depth understanding, this book takes readers on a journey through the essential aspects of Artificial Intelligence, Machine Learning, and Data Science, along with important concepts such as Reinforcement Learning, Neural Networks and Deep Learning, Natural Language Processing (NLP), and advanced machine learning techniques.

To enrich the learning experience, practical examples and exercises are included in every chapter. Additionally, future trends in AI are explored, encouraging continuous curiosity and exploration of new advancements in this dynamic field.



✨ Salient Features
✔️ Comprehensive textbook covering Artificial Intelligence (AI) and Machine Learning (ML).
✔️ Aligned with the syllabi of universities across India where AI and ML are combined subjects.
✔️ Emphasis on hands-on learning through code snippets, practical examples, and real-world case studies.
✔️ Inclusion of the latest methodologies, tools, and trends in Data Science and AI.
✔️ Discusses related topics such as NLP, Deep Learning, Neural Networks, Data Mining, and Data Warehousing.


🌐 Web Supplements
Instructor Resources:
A wealth of information is available online through McGraw-Hill’s Connect platform: https://connect.mheducation.com
📊 Lecture PowerPoint Slides
📝 Solution Manual
Student Resources:
Available at: www.mheducation.co.in
📂 Data Sets
🧠 Chapter-wise Test Bank
✔️ Answer Keys to Chapter-End Objective Questions
💡 Hints to Chapter-End Numerical Questions
📝 Additional Chapter-Wise Solved Examples
🔗 Links to Reference Materials
📚 Appendices: Linear Algebra; Probability and Statistics; Geometry and Multivariate Calculus


📑 Table of Contents
1️⃣ Foundations of Artificial Intelligence
2️⃣ Intelligent Agents and Environments
3️⃣ Search and Problem Solving
4️⃣ Knowledge Representation and Logical Reasoning
5️⃣ Probabilistic Reasoning and Uncertainty
6️⃣ Machine Learning Basics and Techniques
7️⃣ Supervised Learning Techniques
8️⃣ Unsupervised Learning Techniques
9️⃣ Neural Networks and Deep Learning
🔟 Reinforcement Learning
1️⃣1️⃣ Advanced Machine Learning Techniques
1️⃣2️⃣ Natural Language Processing (NLP)
1️⃣3️⃣ Data Mining and Predictive Analysis
1️⃣4️⃣ Data Warehousing and Business Intelligence
1️⃣5️⃣ Ethics in AI and Future Trends
🔍 Index"
9370609164,"Machine Learning using Python, 2ed",by Manaranjan Pradhan and U. Dinesh Kumar | 7 July 2024,5.0 out of 5 stars,(10),https://www.amazon.in/Machine-Learning-using-Python-2ed/dp/9370609164/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-10,"Machine Learning using Python offers a comprehensive foundation in machine learning, blending theoretical concepts with practical applications. It is ideal for beginners and aspiring professionals, covering all essential topics to build a strong foundation in machine learning. The book begins with python language basics, statistics, probability, and exploratory data analysis, and then progresses to supervised learning techniques like linear and logistic regressions, decision trees, KNN, SVM, random forests, boosting, stacking, recommender systems, and text analytics. It also explores unsupervised learning techniques such as clustering, anomaly detection, and dimensionality reduction. The book also addresses advanced topics like ML explainability and MLOps, including model interpretation, deployment, and monitoring. Each chapter includes real-world use cases and step-by-step Python implementations using libraries like Pandas, NumPy, Matplotlib, Seaborn, and Sci kit-learn. The content reflects over 15 years of teaching experience of the authors in institutions like IIM Bangalore and ISB Hyderabad."
