asin,title,author,rating,reviews,url,description
1636512933,"Python Essentials You Always Wanted to Know: Beginner's Guide to Python Programming, Data Structures, Data Analytics with Hands-On Coding Exercises (Self-Learning Management)",by Vibrant Publishers | 9 December 2024,4.4 out of 5 stars,(49),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzkyNzI3NTExMjA0NTYxOjE3NzYxODQ4NjY6c3BfYXRmOjMwMDY4ODU3MjI3MDkzMjo6MDo6&url=%2FPython-Essentials-Beginners-Programmer-Programming%2Fdp%2F1636512933%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg%26dib_tag%3Dse%26keywords%3Dpython%2Bprogramming%2Bbook%26qid%3D1776184865%26sr%3D8-1-spons%26aref%3D6drdTXEeOw%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=6drdTXEeOw&sp_cr=ZAZ,"Beginner's Guide to Python Programming, Data Structures, Data Analytics with Hands-On Coding Exercises. Learn Python the Easy Way with No Prior Experience!

Key Features include:

Comprehensive coverage of Python basics
Ideal for beginners and career changers
Real-world applications and case studies
Practical examples and quizzes for reinforcement

Get ready to program with Python- one of the most in-demand skills of this decade! If you are interested in learning programming, but not sure where to start, Python Essentials You Always Wanted to Know is your guide to learning Python, one of the most versatile and beginner-friendly programming languages. This book is designed with absolute beginners in mind, focusing on clear explanations and practical examples rather than technical jargon. Regardless of skill level, there's something here for everyone, from the basics of programming logic to more advanced topics like object-oriented programming and error handling. Whether you're a student, a professional transitioning into tech, or simply curious about coding, this book will help you to think like a programmer and enhance your programming skills.The book also includes a chapter dedicated to case studies, giving you the opportunity to practice and apply the discussed concepts. Additionally, you will gain exclusive access to an online glossary of functions and methods mentioned throughout the book to help you retain and understand crucial programming terms.

After reading this book, you'll be able to:

Understand programming fundamentals and Python syntax
Apply data structures, functions, and modular programming
Implement object-oriented principles in your projects
Leverage Python for data analysis and business insights

Part of Vibrant Publishers' Self-Learning Management Series, the book serves as a valuable guide for developing programming skills to complement your existing expertise and advance your career."
9390457157,"Core Python Programming : Covers fundamentals to advanced topics like OOPS, Exceptions, Data structures, Files, Threads, Net, 3ed",by R. Nageswara Rao | 1 September 2021,4.5 out of 5 stars,(524),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzkyNzI3NTExMjA0NTYxOjE3NzYxODQ4NjY6c3BfYXRmOjIwMDg4MjM4MzQ2MjA2OjowOjo&url=%2FCore-Python-Programming-3ed-fundamentals%2Fdp%2F9390457157%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg%26dib_tag%3Dse%26keywords%3Dpython%2Bprogramming%2Bbook%26qid%3D1776184865%26sr%3D8-2-spons%26aref%3D5sh2iwOrjN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=5sh2iwOrjN&sp_cr=ZAZ,"Product Description This book covers all concepts in simple and easy to understand English. It helps to build logic, which becomes a stepping stone for programming. Hundreds of solved programs help students of different universities do well in their examinations and job interviews. It works like a handy reference to the Software professionals in their programming. Every chapter is supplemented with ‘Points to Remember’ to recap and retain the subject. About the Author Dr. R. Nageswara Rao, the author of the best seller ‘Core Java - an Integrated Approach’ and ‘Core C’ comes out with this remarkable new book ‘Core Python Programming’. College students can use this book to learn Python from scratch and professionals can use it for their reference. Dr R Nageswara Rao started his teaching career in 1993 as HOD, Dept of Computers under Andhra and Osmania Universities. Later, he became a Project Manager in a startup company and also worked as a freelance developer for a couple of organizations."
B0FTTCTW2H,Python Unlocked (By: Kalp Bichhoria),by Kalp Bichhoria | 4 October 2025,5.0 out of 5 stars,(1),https://www.amazon.in/Python-Unlocked-Kalp-Bichhoria-ebook/dp/B0FTTCTW2H/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-3,"In the ever-evolving landscape of technology, Python has emerged as one of the most
versatile, accessible, and powerful programming languages of our time. From web
development and automation to data science and artificial intelligence, Python’s reach
spans nearly every domain. Yet, for many aspiring programmers, unlocking its true
potential remains a daunting task.
""Python Unlocked"" was born from a desire to bridge that gap — to simplify the
complex, demystify the ambiguous, and make Python approachable for learners at
every level. Whether you're a complete beginner taking your first steps into the world
of programming, or someone looking to solidify and deepen your understanding of
Python, this book is designed with you in mind.
Throughout these pages, you’ll find a blend of clear explanations, practical examples,
and hands-on exercises that aim not just to teach you Python, but to empower you to
use it confidently in real-world scenarios. The structure of the book is intentional —
starting with the fundamentals and gradually progressing into more advanced
concepts — ensuring a smooth and logical learning journey.
This book is not just a tutorial; it’s a companion. It reflects the lessons I’ve learned,
the mistakes I’ve made, and the insights I’ve gained through teaching, coding, and
problem-solving with Python. It is my hope that by the end of your journey through
this book, you’ll not only understand Python — you’ll have unlocked it.
Thank you for choosing to learn with me. Let’s begin.
— Kalp Bichhoria
Author, Python Unlocked"
B078YGVNSF,Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with Python (Texts in Computational Science and Engineering Book 15),by Svein Linge and Hans Petter Langtangen | 25 July 2016,4.2 out of 5 stars,(1.7K),https://www.amazon.in/Programming-Computations-Introduction-Simulations-Computational-ebook/dp/B078YGVNSF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-4,"This book presents computer programming as a key method for solving mathematical problems. There are two versions of the book, one for MATLAB and one for Python. The book was inspired by the Springer book TCSE 6: A Primer on Scientific Programming with Python (by Langtangen), but the style is more accessible and concise, in keeping with the needs of engineering students.





The book outlines the shortest possible path from no previous experience with programming to a set of skills that allows the students to write simple programs for solving common mathematical problems with numerical methods in engineering and science courses. The emphasis is on generic algorithms, clean design of programs, use of functions, and automatic tests for verification."
9390457157,"Core Python Programming : Covers fundamentals to advanced topics like OOPS, Exceptions, Data structures, Files, Threads, Net, 3ed",by R. Nageswara Rao | 1 September 2021,4.5 out of 5 stars,(524),https://www.amazon.in/Core-Python-Programming-3ed-fundamentals/dp/9390457157/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-5,"Product Description This book covers all concepts in simple and easy to understand English. It helps to build logic, which becomes a stepping stone for programming. Hundreds of solved programs help students of different universities do well in their examinations and job interviews. It works like a handy reference to the Software professionals in their programming. Every chapter is supplemented with ‘Points to Remember’ to recap and retain the subject. About the Author Dr. R. Nageswara Rao, the author of the best seller ‘Core Java - an Integrated Approach’ and ‘Core C’ comes out with this remarkable new book ‘Core Python Programming’. College students can use this book to learn Python from scratch and professionals can use it for their reference. Dr R Nageswara Rao started his teaching career in 1993 as HOD, Dept of Computers under Andhra and Osmania Universities. Later, he became a Project Manager in a startup company and also worked as a freelance developer for a couple of organizations."
9354720609,Basic Python Programming for Beginners,"by Dr. Marlapalli Krishna & S. Jaya Prakash Dr. Marlapalli Krishna, K. Varada Rajkumar | 29 July 2021",4.0 out of 5 stars,(108),https://www.amazon.in/Programming-Beginners-Rajkumar-Marlapalli-Krishna/dp/9354720609/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-6,"About the Book: This book introduces basic and fundamental programs of Python Programming, and it is simple and easy to understand for beginners. This book is made up of large number of programs with clear and easy explanation. This book is useful for students to prepare for the competitive exams like University exams, code-vita, hacker rank etc. This book helps to give more information for M.E/M.Tech (CSE, IT), M.C.A, M.Sc (Computer Science), M.Sc (Information Technology), B.E/B.Tech and B.Sc Computer Science students of various universities in India. This book is designed based on the syllabus of JNTU Kakinada python programming lab.




About the Author: Mr. K. Varada Rajkumar , Dr. Marlapalli Krishna and Mr. Jaya Prakash Sunkavalli are with Department Computer Science and Engineering , Sir C R Reddy College of Engineering, Eluru, West Godavari District. Andhra Pradesh. The authors are well experienced and have good knowledge in various engineering subjects."
1718502702,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",by Eric Matthes | 10 January 2023,4.4 out of 5 stars,(2.2K),https://www.amazon.in/Python-Crash-Course-Eric-Matthes/dp/1718502702/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-7,"Python Crash Course is the world’s bestselling programming book, with over 1,500,000 copies sold to date!

Python Crash Course is the world’s best-selling guide to the Python programming language. This fast-paced, thorough introduction will have you writing programs, solving problems, and developing functioning applications in no time.

You’ll start by learning basic programming concepts, such as variables, lists, classes, and loops, and practice writing clean code with exercises for each topic. You’ll also learn how to make your programs interactive and test your code safely before adding it to a project. You’ll put your new knowledge into practice by creating a Space Invaders–inspired arcade game, building a set of data visualizations with Python’s handy libraries, and deploying a simple application online.

As you work through the book, you’ll learn how to:

Use powerful Python libraries and tools, including pytest, Pygame, Matplotlib, Plotly, and Django
Make increasingly complex 2D games that respond to keypresses and mouse clicks
Generate interactive data visualizations using a variety of datasets
Build apps that allow users to create accounts and manage their own data, and deploy your apps online
Troubleshoot coding errors and solve common programming problems

New to this edition: This third edition is completely revised to reflect the latest in Python code. New and updated coverage includes VS Code for text editing, the pathlib module for file handling, pytest for testing your code, as well as the latest features of Matplotlib, Plotly, and Django.

If you’ve been thinking about digging into programming, Python Crash Course will provide you with the skills to write real programs fast. Why wait any longer? Start your engines and code!

Covers Python 3.x"
B0DDQFBS3F,"Python Programming Language: A Complete Beginner-to-Intermediate Guide to Python Programming, Automation, Data Processing, and Real Projects",by Robert Hervin | 9 April 2026,,,https://www.amazon.in/Python-Programming-Language-Beginner-Intermediate-ebook/dp/B0DDQFBS3F/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-8,"Python is more than just a programming language; it is a gateway. It offers one of the most natural ways to communicate with a computer, with syntax that reads almost like plain English. If you want to automate daily tasks, analyze large datasets, or build production-ready systems, Python meets you at your level and grows with you.

This book focuses on clarity and productivity. Instead of overwhelming you with unnecessary complexity, it teaches you how to write clean, readable, and powerful code that solves real-world problems.

What This Book Covers
Across 20 structured chapters, you will build a strong and practical programming foundation:
The Python Foundation: Learn core variables, data types, and control flow
The Power of Automation: Work with strings, handle files, and automate repetitive tasks
Clean Architecture: Understand functions and object-oriented programming to write organized and reusable code
Data Science and Visualization: Use Pandas, Matplotlib, and Seaborn to analyze and visualize data
Advanced Engineering: Explore regular expressions, functional programming, and the Python standard library
Real-World Capstone Projects: Build practical applications such as a personal expense tracker, a weather dashboard, and a file organizer
All Code Is on GitHub
Every code listing, every worked example, and every exercise solution in this book is available in a dedicated GitHub repository. Links are provided throughout the book at each relevant section. You can clone the full project, run every example locally, experiment with modifications, and compare your exercise solutions to the reference implementations. The repository is organized chapter by chapter so you can find any example instantly.

Who This Book Is For
Absolute beginners with no prior coding experience
Career changers aiming to enter fields like data science, web development, or artificial intelligence
Professionals and learners who value efficiency, clarity, and practical skills

A Note on Quality
This book is designed to reflect the modern Python ecosystem. It is fully updated for Python 3.13.

Stop watching from the sidelines. Start building. Your Python journey begins now."
9367257651,"PYTHON PROGRAMMING, 3E",by Reema Thareja | 24 July 2025,5.0 out of 5 stars,(7),https://www.amazon.in/PYTHON-PROGRAMMING-3E-Reema-Thareja/dp/9367257651/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-9,"The Third Edition of Python Programming using Problem-solving Approach is designed to serve as a comprehensive textbook for undergraduate and postgraduate students of computer science, information technology, and other programming streams. It is also an invaluable resource for professionals who wish to learn data structures and algorithms to enhance their skills and stay competitive in the ever-evolving tech industry. This book aims to introduce readers to the fundamentals of Python programming while emphasizing the importance of problem-solving skills. By presenting real-world examples and practical exercises, the book seeks to equip readers with the knowledge and confidence to tackle complex programming challenges. The book provides a thorough introduction to Python programming, starting with the basics and gradually progressing to more advanced topics. Each chapter is structured to build on the previous one, ensuring a smooth learning curve for readers. The problem-solving approach adopted in this book encourages readers to think critically and develop efficient solutions to programming challenges."
9355420838,"Fluent Python: Clear, Concise, and Effective Programming, Second Edition (Grayscale Indian Edition)",by Luciano Ramalho | 6 May 2022,4.7 out of 5 stars,(742),https://www.amazon.in/Fluent-Python-Effective-Programming-Grayscale/dp/9355420838/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bYN-jXQcS1DZylNmHPhCZXjhf-J-xG_8l9eMifl0ytKvDWPj6ttmKRXOdcW4UJe9HacK49YHk0pm7tSOvgKucAq4eN4JRZw1V6_bUHXDHaZ_F35lopcqErrJqR1w-nxw8xYgHL4a7mn_DJtS6l77S6Buuh9xSppNgSWYQOxtXrZBGeE0cTtGG7K6Td0AR11-9YSEQ_6dW2bI1u5VoefhzGz5Ni73YW-sio-tg4C9lD4.jRiNfFfcYT6k6LImUx2lWZADFzs3C69DdWyR3hAc4Eg&dib_tag=se&keywords=python+programming+book&qid=1776184865&sr=8-10,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale

Python’s simplicity lets you become productive quickly, but often this means you aren’t using everything it has to offer. With the updated edition of this hands-on guide, you’ll learn how to write effective, modern Python 3 code by leveraging its best ideas.

Don’t waste time bending Python to fit patterns you learned in other languages. Discover and apply idiomatic Python 3 features beyond your past experience. Author Luciano Ramalho guides you through Python’s core language features and libraries and teaches you how to make your code shorter, faster, and more readable.

Featuring major updates throughout the book, Fluent Python, second edition, covers:

Special methods: The key to the consistent behavior of Python objects
Data structures: Sequences, dicts, sets, Unicode, and data classes
Functions as objects: First-class functions, related design patterns, and type hints in function declarations
Object-oriented idioms: Composition, inheritance, mixins, interfaces, operator overloading, static typing and protocols
Control flow: Context managers, generators, coroutines, async/await, and thread/process pools
Metaprogramming: Properties, attribute descriptors, class decorators, and new class metaprogramming hooks that are simpler than metaclasses"
