asin,title,author,rating,reviews,url,description
9365897254,"Practical Deep Learning with PyTorch: PyTorch implementation for computer vision, NLP, audio, and language translation",by Deepak Gowda | 8 April 2025,5.0 out of 5 stars,(1),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1OTQxNjc0NjEyNjIzOjE3NzYxODQ4OTU6c3BfYXRmOjMwMDU2MTE3MzEyODgzMjo6MDo6&url=%2FPractical-Deep-Learning-PyTorch-implementation%2Fdp%2F9365897254%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c%26dib_tag%3Dse%26keywords%3Dpytorch%2Bbook%26qid%3D1776184895%26sr%3D8-1-spons%26aref%3DAGHtV4RG5x%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=AGHtV4RG5x&sp_cr=ZAZ,"The book begins with foundational deep learning concepts and guides you through setting up PyTorch. You will learn to manipulate tensors, load data, build models, and understand computer vision with multi-object detection using YOLO to enhance image recognition through transfer learning techniques. You will also analyze generative models with GANs for data augmentation and venture into audio processing with text-to-speech and speech-to-text using TorchAudio. Learn NLP tasks like text classification, summarization, sentiment analysis, and question answering with pre-trained models like BERT. Finally, learn to tackle time series forecasting using RNNs, LSTMs, CNNs, and transformers."
1789614384,Mastering PyTorch: Build powerful neural network architectures using advanced PyTorch 1.x features,by Ashish Ranjan Jha | 12 February 2021,4.5 out of 5 stars,(41),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1OTQxNjc0NjEyNjIzOjE3NzYxODQ4OTU6c3BfYXRmOjMwMDE2MzkxNzgzNzAzMjo6MDo6&url=%2FMastering-PyTorch-powerful-architectures-advanced%2Fdp%2F1789614384%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c%26dib_tag%3Dse%26keywords%3Dpytorch%2Bbook%26qid%3D1776184895%26sr%3D8-2-spons%26aref%3DVFZwlDiUMW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=VFZwlDiUMW&sp_cr=ZAZ,"Master advanced techniques and algorithms for deep learning with PyTorch using real-world examples

Key Features

- Understand how to use PyTorch 1.x to build advanced neural network models

- Learn to perform a wide range of tasks by implementing deep learning algorithms and techniques

- Gain expertise in domains such as computer vision, NLP, Deep RL, Explainable AI, and much more

Book Description

Deep learning is driving the AI revolution, and PyTorch is making it easier than ever before for anyone to build deep learning applications. This PyTorch book will help you uncover expert techniques to get the most out of your data and build complex neural network models.

The book starts with a quick overview of PyTorch and explores using convolutional neural network (CNN) architectures for image classification. You'll then work with recurrent neural network (RNN) architectures and transformers for sentiment analysis. As you advance, you'll apply deep learning across different domains, such as music, text, and image generation using generative models and explore the world of generative adversarial networks (GANs). You'll not only build and train your own deep reinforcement learning models in PyTorch but also deploy PyTorch models to production using expert tips and techniques. Finally, you'll get to grips with training large models efficiently in a distributed manner, searching neural architectures effectively with AutoML, and rapidly prototyping models using PyTorch and fast.ai.

By the end of this PyTorch book, you'll be able to perform complex deep learning tasks using PyTorch to build smart artificial intelligence models.

What you will learn

- Implement text and music generating models using PyTorch

- Build a deep Q-network (DQN) model in PyTorch

- Export universal PyTorch models using Open Neural Network Exchange (ONNX)

- Become well-versed with rapid prototyping using PyTorch with fast.ai

- Perform neural architecture search effectively using AutoML

- Easily interpret machine learning (ML) models written in PyTorch using Captum

- Design ResNets, LSTMs, Transformers, and more using PyTorch

- Find out how to use PyTorch for distributed training using the torch.distributed API

Who this book is for

This book is for data scientists, machine learning researchers, and deep learning practitioners looking to implement advanced deep learning paradigms using PyTorch 1.x. Working knowledge of deep learning with Python programming is required.

Table of Contents

- Overview of Deep Learning Using PyTorch

- Combining CNNs and LSTMs

- Deep CNN Architectures

- Deep Recurrent Model Architectures

- Hybrid Advanced Models

- Music and Text Generation with PyTorch

- Neural Style Transfer

- Deep Convolutional GANs

- Deep Reinforcement Learning

- Operationalizing Pytorch Models into Production

- Distributed Training

- PyTorch and AutoML

- PyTorch and Explainable AI

- Rapid Prototyping with PyTorch"
9368082197,"Hands-On Machine Learning with Scikit-Learn and PyTorch: Concepts, Tools, and Techniques to Build Intelligent Systems (Full Colour Indian Reprint)",by Aurelien Geron | 27 October 2025,4.5 out of 5 stars,(57),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-PyTorch/dp/9368082197/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-3,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

The potential of machine learning today is extraordinary, yet many aspiring developers and tech professionals find themselves daunted by its complexity. Whether you're looking to enhance your skill set and apply machine learning to real-world projects or are simply curious about how AI systems function, this book is your jumping-off place.

With an approachable yet deeply informative style, author Aurelien Geron delivers the ultimate introductory guide to machine learning and deep learning. Drawing on the Hugging Face ecosystem, with a focus on clear explanations and real-world examples, the book takes you through cutting-edge tools like Scikit-Learn and PyTorch from basic regression techniques to advanced neural networks. Whether you're a student, professional, or hobbyist, you'll gain the skills to build intelligent systems.

Understand ML basics, including concepts like overfitting and hyperparameter tuning
Complete an end-to-end ML project using scikit-Learn, covering everything from data exploration to model evaluation
Learn techniques for unsupervised learning, such as clustering and anomaly detection
Build advanced architectures like transformers and diffusion models with PyTorch
Harness the power of pretrained models including LLMs and learn to fine-tune them
Train autonomous agents using reinforcement learning"
9358988851,"The StatQuest Illustrated Guide to Neural Networks and AI, with hands-on examples in PyTorch!!!",by Josh Starmer PhD | 27 December 2024,4.6 out of 5 stars,(46),https://www.amazon.in/StatQuest-Illustrated-Networks-examples-PyTorch/dp/9358988851/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-4,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

AI applications like ChatGPT can seem almost magical. A simple prompt can generate a new poem, or even write code for you. But how does this magic happen? That’s where The StatQuest Illustrated Guide to Neural Networks and AI comes in. This book takes the algorithms, no matter how complicated, and breaks them down into small, bite-sized pieces that are easy to understand. Each concept is clearly illustrated to provide you with an intuition about how the methods work that goes beyond the equations alone. The StatQuest Illustrated Guide does not dumb down the concepts. Instead, it builds you up, so you’re smarter and have a deeper understanding of neural networks and AI.

The StatQuest Illustrated Guide to Neural Networks and AI starts with the basics, showing you how a simple neural network fits a shape to data and then builds from there, one step at a time, until you have mastered the concepts behind today’s revolution in AI. Furthermore, putting the theory into practice is easy because each major concept is paired with a PyTorch tutorial that teaches you how to code each neural network from scratch."
9365898250,Building LLMs with PyTorch: A step-by-step guide to building advanced AI models with PyTorch (English Edition),by Anand Trivedi | 13 March 2025,4.7 out of 5 stars,(4),https://www.amazon.in/Building-LLMs-PyTorch-step-step/dp/9365898250/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-5,"DESCRIPTION

PyTorch has become the go-to framework for building cutting-edge large language models (LLMs), enabling developers to harness the power of deep learning for natural language processing. This book serves as your practical guide to navigating the intricacies of PyTorch, empowering you to create your own LLMs from the ground up.

You will begin by mastering PyTorch fundamentals, including tensors, autograd, and model creation, before diving into core neural network concepts like gradients, loss functions, and backpropagation. Progressing through regression and image classification with convolutional neural networks, you will then explore advanced image processing through object detection and segmentation. The book seamlessly transitions into NLP, covering RNNs, LSTMs, and attention mechanisms, culminating in the construction of Transformer-based LLMs, including a practical mini-GPT project. You will also get a strong understanding of generative models like VAEs and GANs.

By the end of this book, you will possess the technical proficiency to build, train, and deploy sophisticated LLMs using PyTorch, equipping you to contribute to the rapidly evolving landscape of AI.

WHAT YOU WILL LEARN

● Build and train PyTorch models for linear and logistic regression.

● Configure PyTorch environments and utilize GPU acceleration with CUDA.

● Construct CNNs for image classification and apply transfer learning techniques.

● Master PyTorch tensors, autograd, and build fundamental neural networks.

● Utilize SSD and YOLO for object detection and perform image segmentation.

● Develop RNNs and LSTMs for sequence modeling and text generation.

WHO THIS BOOK IS FOR

Software engineers, AI researchers, architects seeking AI insights, and professionals in finance, medical, engineering, and mathematics will find this book a comprehensive starting point, regardless of prior deep learning expertise."
9352139097,Programming PyTorch for Deep Learning: Creating and Deploying Deep Learning Applications [Paperback] Ian Pointer,by Ian Pointer | 3 October 2019,4.2 out of 5 stars,(86),https://www.amazon.in/Programming-PyTorch-Deep-Learning-Applications/dp/9352139097/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-6,"All Indian Reprints of O'Reilly are printed in Grayscale.

Deep learning is changing everything. This machine-learning method has already surpassed traditional computer vision techniques, and the same is happening with NLP. If you're looking to bring deep learning into your domain, this practical book will bring you up to speed on key concepts using Facebook's PyTorch framework.

Once author Ian Pointer helps you set up PyTorch on a cloud-based environment, you'll learn how use the framework to create neural architectures for performing operations on images, sound, text, and other types of data. By the end of the book, you'll be able to create neural networks and train them on multiple types of data.

Learn how to deploy deep learning models to production
Explore PyTorch use cases in companies other than Facebook
Learn how to apply transfer learning to images
Apply cutting-edge NLP techniques using a model trained on Wikipedia"
9365897254,"Practical Deep Learning with PyTorch: PyTorch implementation for computer vision, NLP, audio, and language translation",by Deepak Gowda | 8 April 2025,5.0 out of 5 stars,(1),https://www.amazon.in/Practical-Deep-Learning-PyTorch-implementation/dp/9365897254/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-7,"The book begins with foundational deep learning concepts and guides you through setting up PyTorch. You will learn to manipulate tensors, load data, build models, and understand computer vision with multi-object detection using YOLO to enhance image recognition through transfer learning techniques. You will also analyze generative models with GANs for data augmentation and venture into audio processing with text-to-speech and speech-to-text using TorchAudio. Learn NLP tasks like text classification, summarization, sentiment analysis, and question answering with pre-trained models like BERT. Finally, learn to tackle time series forecasting using RNNs, LSTMs, CNNs, and transformers."
9355424272,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD (Full Colour Edition),by Jeremy Howard and Sylvain Gugger | 16 July 2023,4.6 out of 5 stars,(604),https://www.amazon.in/Deep-Learning-Coders-Fastai-PyTorch/dp/9355424272/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-8,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

Deep learning is often viewed as the exclusive domain of math PhDs and big tech companies. But as this hands-on guide demonstrates, programmers comfortable with Python can achieve impressive results in deep learning with little math background, small amounts of data, and minimal code. How? With fastai, the first library to provide a consistent interface to the most frequently used deep learning applications.

Authors Jeremy Howard and Sylvain Gugger, the creators of fastai, show you how to train a model on a wide range of tasks using fastai and PyTorch. You’ll also dive progressively further into deep learning theory to gain a complete understanding of the algorithms behind the scenes.

Train models in computer vision, natural language processing, tabular data, and collaborative filtering
Learn the latest deep learning techniques that matter most in practice
Improve accuracy, speed, and reliability by understanding how deep learning models work
Discover how to turn your models into web applications
Implement deep learning algorithms from scratch
Consider the ethical implications of your work
Gain insight from the foreword by PyTorch cofounder, Soumith Chintala"
1801819319,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"by Sebastian Raschka , Yuxi (Hayden) Liu , et al. | 25 February 2022",4.4 out of 5 stars,(469),https://www.amazon.in/Machine-Learning-PyTorch-Scikit-Learn-learning/dp/1801819319/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-9,"This book of the bestselling and widely acclaimed Python Machine Learning series is a comprehensive guide to machine and deep learning using PyTorch s simple to code framework.

Purchase of the print or Kindle book includes a free eBook in PDF format.

Key Features:

- Learn applied machine learning with a solid foundation in theory

- Clear, intuitive explanations take you deep into the theory and practice of Python machine learning

- Fully updated and expanded to cover PyTorch, transformers, XGBoost, graph neural networks, and best practices

Book Description:

Machine Learning with PyTorch and Scikit-Learn is a comprehensive guide to machine learning and deep learning with PyTorch. It acts as both a step-by-step tutorial and a reference you'll keep coming back to as you build your machine learning systems.

Packed with clear explanations, visualizations, and examples, the book covers all the essential machine learning techniques in depth. While some books teach you only to follow instructions, with this machine learning book, we teach the principles allowing you to build models and applications for yourself.

Why PyTorch?

PyTorch is the Pythonic way to learn machine learning, making it easier to learn and simpler to code with. This book explains the essential parts of PyTorch and how to create models using popular libraries, such as PyTorch Lightning and PyTorch Geometric.

You will also learn about generative adversarial networks (GANs) for generating new data and training intelligent agents with reinforcement learning. Finally, this new edition is expanded to cover the latest trends in deep learning, including graph neural networks and large-scale transformers used for natural language processing (NLP).

This PyTorch book is your companion to machine learning with Python, whether you're a Python developer new to machine learning or want to deepen your knowledge of the latest developments.

What You Will Learn:

- Explore frameworks, models, and techniques for machines to learn from data

- Use scikit-learn for machine learning and PyTorch for deep learning

- Train machine learning classifiers on images, text, and more

- Build and train neural networks, transformers, and boosting algorithms

- Discover best practices for evaluating and tuning models

- Predict continuous target outcomes using regression analysis

- Dig deeper into textual and social media data using sentiment analysis

Who this book is for:

If you have a good grasp of Python basics and want to start learning about machine learning and deep learning, then this is the book for you. This is an essential resource written for developers and data scientists who want to create practical machine learning and deep learning applications using scikit-learn and PyTorch.

Before you get started with this book, you'll need a good understanding of calculus, as well as linear algebra.

Table of Contents

- Giving Computers the Ability to Learn from Data

- Training Simple Machine Learning Algorithms for Classification

- A Tour of Machine Learning Classifiers Using Scikit-Learn

- Building Good Training Datasets - Data Preprocessing

- Compressing Data via Dimensionality Reduction

- Learning Best Practices for Model Evaluation and Hyperparameter Tuning

(N.B. Please use the Read Sample option to see further chapters)"
9368087296,"AI Systems Performance Engineering: Optimizing Model Training and Inference Workloads with GPUs, CUDA, and PyTorch (Full Colour Indian Reprint)",by Chris Fregly | 21 November 2025,4.6 out of 5 stars,(28),https://www.amazon.in/Systems-Performance-Engineering-Optimizing-Inference/dp/9368087296/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bMsHjdXR78DpXIYUGr30PAJjwpu_4kG8ZfNEGxtfWBddJbAb2vIR3rdOUDR2cnuvMV53fOQLabOx0_GIbuCMEAn27oKQGUfc6EojJTdNtRy3M7GQWoMwladruuDp7ARWWmu3-sZ3HcffH_lP5yYFalIZ_3dCqTgFj-O-5LeGPBiclJYMCkqgTAhQdArBBQ1AQG1Z-41HZsXjmwYTknDv2WfRo98iJ_sf_brlVhnReM0.1acwzjGYqRTogUR792kiMdWwFX5N61Ag6UegpB6655c&dib_tag=se&keywords=pytorch+book&qid=1776184895&sr=8-10,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

Elevate your AI system performance capabilities with this definitive guide to maximizing efficiency across every layer of your AI infrastructure. In today's era of ever-growing generative models, AI Systems Performance Engineering provides engineers, researchers, and developers with a hands-on set of actionable optimization strategies. Learn to co-optimize hardware, software, and algorithms to build resilient, scalable, and cost-effective AI systems that excel in both training and inference. Authored by Chris Fregly, a performance-focused engineering and product leader, this resource transforms complex AI systems into streamlined, high-impact AI solutions.

Inside, you'll discover step-by-step methodologies for fine-tuning GPU CUDA kernels, PyTorch-based algorithms, and multinode training and inference systems. You'll also master the art of scaling GPU clusters for high performance, distributed model training jobs, and inference servers. The book ends with a 175+ item checklist of proven, ready-to-use optimizations.

Codesign and optimize hardware, software, and algorithms to achieve maximum throughput and cost savings
Implement cutting-edge inference strategies that reduce latency and boost throughput in real-world settings
Utilize industry-leading scalability tools and frameworks
Profile, diagnose, and eliminate performance bottlenecks across complex AI pipelines
Integrate full stack optimization techniques for robust, reliable AI system performance"
