asin,title,author,rating,reviews,url,description
1788292065,Mastering Tensorflow,by Armando Fandango | 1 January 2018,3.0 out of 5 stars,(8),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTcwMTc3MDY4NTkzMzgxOjE3NzYxODQ4OTA6c3BfYXRmOjMwMDE2Mzk2MzI2ODEzMjo6MDo6&url=%2FMastering-Tensorflow-Armando-Fandango%2Fdp%2F1788292065%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4%26dib_tag%3Dse%26keywords%3Dtensorflow%2Bbook%26qid%3D1776184890%26sr%3D8-1-spons%26aref%3DYhEz3ZRNnG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YhEz3ZRNnG&sp_cr=ZAZ,"We cover advanced deep learning concepts (such as transfer learning, generative adversarial models, and reinforcement learning), and implement them using TensorFlow and Keras. We cover how to build and deploy at scale with distributed models. You will learn to build TensorFlow models using R, Keras, TensorFlow Learn, TensorFlow Slim and Sonnet"
9355421982,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems, Third Edition (Full Colour Print)",by Aurélien Géron | 10 October 2022,4.7 out of 5 stars,(368),https://www.amazon.in/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/9355421982/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-2,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs.

Through a recent series of breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This best-selling book uses concrete examples, minimal theory, and production-ready Python frameworks--scikit-learn, Keras, and TensorFlow--to help you gain an intuitive understanding of the concepts and tools for building intelligent systems.

With this updated third edition, author Aurelien Geron explores a range of techniques, starting with simple linear regression and progressing to deep neural networks. Numerous code examples and exercises throughout the book help you apply what you've learned. Programming experience is all you need to get started.

Use scikit-learn to track an example machine learning project end to end
Explore several models, including support vector machines, decision trees, random forests, and ensemble methods
Exploit unsupervised learning techniques such as dimensionality reduction, clustering, and anomaly detection
Dive into neural net architectures, including convolutional nets, recurrent nets, generative adversarial networks, and transformers
Use TensorFlow and Keras to build and train neural nets for computer vision, natural language processing, generative models, and deep reinforcement learning
Train neural nets using multiple GPUs and deploy them at scale using Google's Vertex AI"
9390475791,"Mastering OpenCV with Python: Use NumPy, Scikit, TensorFlow, and Matplotlib to learn Advanced algorithms for Machine Learning through a set of Practical Projects",by Ayush Vaishya | 15 November 2023,4.8 out of 5 stars,(32),https://www.amazon.in/Mastering-OpenCV-Python-TensorFlow-Matplotlib/dp/9390475791/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-3,"""Mastering OpenCV with Python"" immerses you in the captivating realm of computer vision, with a structured approach that equips you with the knowledge and skills essential for success in this rapidly evolving field. From grasping the fundamental concepts of image processing and OpenCV to mastering advanced techniques such as neural networks and object detection, you will gain a comprehensive understanding. Each chapter is enriched with hands-on exercises and real-world projects, ensuring the acquisition of practical skills that can be immediately applied in your professional journey."
9355510470,Beginning with Deep Learning Using TensorFlow,by Mohan Kumar Silaparasetty | 9 February 2022,4.6 out of 5 stars,(11),https://www.amazon.in/Beginning-Deep-Learning-Using-TensorFlow/dp/9355510470/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-4,"This book begins with the configuration of an Anaconda development environment, essential for practicing the deep learning process. The basics of machine learning, which are needed for Deep Learning, are explained in this book.TensorFlow is the industry-standard library for Deep Learning, and thereby, it is covered extensively with both versions, 1.x and 2.x. As neural networks are the heart of Deep Learning, the book explains them in great detail and systematic fashion, beginning with a single neuron and progressing through deep multilayer neural networks. The emphasis of this book is on the practical application of key concepts rather than going in-depth with them.After establishing a firm basis in TensorFlow and Neural Networks, the book explains the concepts of image recognition using Convolutional Neural Networks (CNN), followed by speech recognition, and natural language processing (NLP). Additionally, this book discusses Transformers, the most recent advancement in NLP.TABLE OF CONTENTS1. Introduction to Artificial Intelligence2. Machine Learning 3. TensorFlow Programming4. Neural Networks5. TensorFlow 26. Image Recognition7. Speech Recognition"
9391043828,TensorFlow 2 Pocket Reference: Building and Deploying Machine Learning Models (Grayscale Indian Edition),by KC Tung | 6 August 2021,4.3 out of 5 stars,(29),https://www.amazon.in/TensorFlow-Pocket-Reference-Deploying-Grayscale/dp/9391043828/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-5,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale

This easy-to-use reference for TensorFlow 2 design patterns in Python will help you make informed decisions for various use cases. Author KC Tung addresses common topics and tasks in enterprise data science and machine learning practices rather than focusing on TensorFlow itself.

When and why would you feed training data as using NumPy or a streaming dataset? How would you set up cross-validations in the training process? How do you leverage a pretrained model using transfer learning? How do you perform hyperparameter tuning? Pick up this pocket reference and reduce the time you spend searching through options for your TensorFlow use cases.

Understand best practices in TensorFlow model patterns and ML workflows
Use code snippets as templates in building TensorFlow models and workflows
Save development time by integrating prebuilt models in TensorFlow Hub
Make informed design choices about data ingestion, training paradigms, model saving, and inferencing
Address common scenarios such as model design style, data ingestion workflow, model training, and tuning"
9391392229,"Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured, Unstructured datasets and Time Series Data",by Rajdeep Dua | 22 April 2022,5.0 out of 5 stars,(5),https://www.amazon.in/Mastering-TensorFlow-2-x-Structured-Unstructured/dp/9391392229/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-6,"Work with TensorFlow and Keras for real performance of deep learningKey FeaturesCombines theory and implementation with in-detail use-cases.Coverage on both, TensorFlow 1.x and 2.x with elaborated concepts.Exposure to Distributed Training, GANs and Reinforcement Learning.DescriptionMastering TensorFlow 2.x is a must to read and practice if you are interested in building various kinds of neural networks with high level TensorFlow and Keras APIs. The book begins with the basics of TensorFlow and neural network concepts, and goes into specific topics like image classification, object detection, time series forecasting and Generative Adversarial Networks.While we are practicing TensorFlow 2.6 in this book, the version of Tensorflow will change with time; however you can still use this book to witness how Tensorflow outperforms. This book includes the use of a local Jupyter notebook and the use of Google Colab in various use cases including GAN and Image classification tasks. While you explore the performance of TensorFlow, the book also covers various concepts and in-detail explanations around reinforcement learning, model optimization and time series models.What you will learnGetting started with Tensorflow 2.x and basic building blocks.Get well versed in functional programming with TensorFlow.Practice Time Series analysis along with strong understanding of concepts.Get introduced to use of TensorFlow in Reinforcement learning and Generative Adversarial Networks.Train distributed models and how to optimize them.Who this book is forThis book is designed for machine learning engineers, NLP engineers and deep learning practitioners who want to utilize the performance of TensorFlow in their ML and AI projects. Readers are expected to have some familiarity with Tensorflow and the basics of machine learning would be helpful.Table of Contents1. Getting started with TensorFlow 2.x2. Machine Learning with TensorFlow 2.x3. Keras based APIs4. Convolutional Neural Networks in Tensorflow5. Text Processing with TensorFlow 2.x6. Time Series Forecasting with TensorFlow 2.x7. Distributed Training and DataInput pipelines8. Reinforcement Learning9. Model Optimization10. Generative Adversarial NetworksRead more"
9354642403,Deep Learning with TensorFlow JS Projects,by Umang Sharma | 21 June 2022,5.0 out of 5 stars,(10),https://www.amazon.in/Deep-Learning-TensorFlow-JS-Projects/dp/9354642403/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-7,"Deep Learning with TensorFlow JS Projects aims to teach Deep Learning application development with ease. This book is designed to teach both JS and Machine Learning expertly. Each chapter starts with a bit of theory on a particular Deep Learning concept and then goes on to build a full-fledged fun Web app using the same. Doing Deep Learning in production is critical for its success, and this book intends to teach that. This book can also be used to build a strong foundation of difficult DL concepts such as CNNs, RNNs, GANs, and much more."
9355516495,Design Patterns of Deep Learning with TensorFlow: Building a customer hyper-personalisation ecosystem using deep learning design patterns,by Thomas V. Joseph | 6 June 2024,5.0 out of 5 stars,(1),https://www.amazon.in/Design-Patterns-Learning-TensorFlow-hyper-personalisation/dp/9355516495/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-8,"Design Patterns of Deep Learning with TensorFlow is your comprehensive guide to learning deep learning from a design pattern perspective. In this book, we explore deep learning within the context of building hyper-personalization models, exploring its applications across various industries and scenarios. It starts by showing how deep learning enhances retail through customer segmentation and data analysis. You will learn neural networks, computer vision with CNNs, and NLP for analyzing customer behavior. This book addresses challenges like uneven data and optimizing models with techniques like backpropagation, hyperparameter tuning, and transfer learning. Finally, it covers setting up data pipelines and deploying your system. With practical tips and actionable advice, this book equips readers with the skills and strategies needed to thrive in today''s competitive AI landscape."
9352137043,TensorFlow for Deep Learning: From Linear Regression to Reinforcement Learning (Greyscale Indian Edition),by Reza Zadeh and Bharath Ramsundar | 1 January 2018,3.6 out of 5 stars,(34),https://www.amazon.in/Tensor-Flow-Deep-Learning-Zadeh/dp/9352137043/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-9,"Learn how to solve challenging machine learning problems with Tensorflow, Google and rsquo;s revolutionary new system for deep learning. If you have some background with basic linear algebra and calculus, this practical book shows you how to build and mdash;and when to use and mdash;deep learning architectures. You and rsquo;ll learn how to design systems capable of detecting objects in images, understanding human speech, analyzing video and predicting the properties of potential medicines.

TensorFlow for Deep Learning teaches concepts through practical examples and builds understanding of deep learning foundations from the ground up. It and rsquo;s ideal for practicing developers comfortable with designing software systems, but not necessarily with creating learning systems. This book is also useful for scientists and other professionals who are comfortable with scripting, but not necessarily with designing learning algorithms.


Gain in-depth knowledge of the TensorFlow API and primitives.

Understand how to train and tune machine learning systems with TensorFlow on large datasets.

Learn how to use TensorFlow with convolutional networks, recurrent networks, LSTMs and reinforcement learning."
1803232919,"Deep Learning with TensorFlow and Keras - Third Edition: Build and deploy supervised, unsupervised, deep, and reinforcement learning models","by Amita Kapoor , Antonio Gulli , et al. | 6 October 2022",4.4 out of 5 stars,(79),https://www.amazon.in/Deep-Learning-TensorFlow-Keras-reinforcement/dp/1803232919/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ftUvU_CzmJLENBx4L9wX5XNiqH_CgC1rz8eYnrAViwz7-17b_zaWlKNa-w2-RSTN-PrVhhzDRFBCl_3VwIaM5ubNRIhDEKFcfoyExkKR7J40ugxGp7r_zDWdDGCv5I46PFfkDnzi4oWHPqU9Wew_pKpSKwz362bhO4pTR8zxPYqQQczQw_J9LzcIvcd_532qccHrLdatTqGyL9xpU_I-iuj3EyIwdWg2q0i1owLoJsY.Tjq6QA3PDZezgexmmSwRCEEtXqfO44xrkEkz8p-GzW4&dib_tag=se&keywords=tensorflow+book&qid=1776184890&sr=8-10,"Build cutting edge machine and deep learning systems for the lab, production, and mobile devices.




Purchase of the print or Kindle book includes a free eBook in PDF format.




Key Features:

Understand the fundamentals of deep learning and machine learning through clear explanations and extensive code samples
Implement graph neural networks, transformers using Hugging Face and TensorFlow Hub, and joint and contrastive learning
Learn cutting-edge machine and deep learning techniques




Book Description:

Deep Learning with TensorFlow and Keras teaches you neural networks and deep learning techniques using TensorFlow (TF) and Keras. You'll learn how to write deep learning applications in the most powerful, popular, and scalable machine learning stack available.




TensorFlow 2.x focuses on simplicity and ease of use, with updates like eager execution, intuitive higher-level APIs based on Keras, and flexible model building on any platform. This book uses the latest TF 2.0 features and libraries to present an overview of supervised and unsupervised machine learning models and provides a comprehensive analysis of deep learning and reinforcement learning models using practical examples for the cloud, mobile, and large production environments.




This book also shows you how to create neural networks with TensorFlow, runs through popular algorithms (regression, convolutional neural networks (CNNs), transformers, GANs, recurrent neural networks (RNNs), natural language processing (NLP), and Graph Neural Networks (GNNs)), covers working example apps, and then dives into TF in production, TF mobile, and TensorFlow with AutoML.




What You Will Learn:

Learn how to use the popular GNNs with TensorFlow to carry out graph mining tasks
Discover the world of transformers, from pretraining to fine-tuning to evaluating them
Apply self-supervised learning to natural language processing, computer vision, and audio signal processing
Combine probabilistic and deep learning models using TensorFlow Probability
Train your models on the cloud and put TF to work in real environments
Build machine learning and deep learning systems with TensorFlow 2.x and the Keras API




Who this book is for:

This hands-on machine learning book is for Python developers and data scientists who want to build machine learning and deep learning systems with TensorFlow. This book gives you the theory and practice required to use Keras, TensorFlow, and AutoML to build machine learning systems.




Some machine learning knowledge would be useful. We don't assume TF knowledge."
